start--------------------------------------------
packet_index ,55, sent_timestamp ,Mon Oct 09 13:49:25 2023,received-send delay ,1857.247000,[msec] and size ,40960,
packet_index ,56, sent_timestamp ,Mon Oct 09 13:49:25 2023,received-send delay ,1864.198000,[msec] and size ,40960,
packet_index ,57, sent_timestamp ,Mon Oct 09 13:49:25 2023,received-send delay ,1992.629000,[msec] and size ,40960,
packet_index ,58, sent_timestamp ,Mon Oct 09 13:49:25 2023,received-send delay ,2028.600000,[msec] and size ,40960,
packet_index ,59, sent_timestamp ,Mon Oct 09 13:49:25 2023,received-send delay ,1995.128000,[msec] and size ,40960,
packet_index ,60, sent_timestamp ,Mon Oct 09 13:49:25 2023,received-send delay ,1832.139000,[msec] and size ,40960,
packet_index ,61, sent_timestamp ,Mon Oct 09 13:49:25 2023,received-send delay ,1798.872000,[msec] and size ,40960,
packet_index ,62, sent_timestamp ,Mon Oct 09 13:49:25 2023,received-send delay ,1765.436000,[msec] and size ,40960,
packet_index ,63, sent_timestamp ,Mon Oct 09 13:49:26 2023,received-send delay ,1441.514000,[msec] and size ,40960,
packet_index ,64, sent_timestamp ,Mon Oct 09 13:49:26 2023,received-send delay ,1490.475000,[msec] and size ,40960,
packet_index ,65, sent_timestamp ,Mon Oct 09 13:49:27 2023,received-send delay ,535.410000,[msec] and size ,40960,
packet_index ,66, sent_timestamp ,Mon Oct 09 13:49:27 2023,received-send delay ,332.906000,[msec] and size ,40960,
packet_index ,67, sent_timestamp ,Mon Oct 09 13:49:27 2023,received-send delay ,746.129000,[msec] and size ,40960,
packet_index ,68, sent_timestamp ,Mon Oct 09 13:49:27 2023,received-send delay ,712.946000,[msec] and size ,40960,
packet_index ,69, sent_timestamp ,Mon Oct 09 13:49:27 2023,received-send delay ,725.149000,[msec] and size ,40960,
packet_index ,70, sent_timestamp ,Mon Oct 09 13:49:27 2023,received-send delay ,726.852000,[msec] and size ,40960,
packet_index ,71, sent_timestamp ,Mon Oct 09 13:49:27 2023,received-send delay ,693.617000,[msec] and size ,40960,
packet_index ,72, sent_timestamp ,Mon Oct 09 13:49:27 2023,received-send delay ,632.069000,[msec] and size ,40960,
packet_index ,73, sent_timestamp ,Mon Oct 09 13:49:27 2023,received-send delay ,598.702000,[msec] and size ,40960,
packet_index ,74, sent_timestamp ,Mon Oct 09 13:49:27 2023,received-send delay ,596.972000,[msec] and size ,40960,
packet_index ,75, sent_timestamp ,Mon Oct 09 13:49:27 2023,received-send delay ,563.748000,[msec] and size ,40960,
packet_index ,76, sent_timestamp ,Mon Oct 09 13:49:27 2023,received-send delay ,577.981000,[msec] and size ,40960,
packet_index ,77, sent_timestamp ,Mon Oct 09 13:49:27 2023,received-send delay ,544.645000,[msec] and size ,40960,
packet_index ,78, sent_timestamp ,Mon Oct 09 13:49:28 2023,received-send delay ,185.730000,[msec] and size ,40960,
packet_index ,79, sent_timestamp ,Mon Oct 09 13:49:28 2023,received-send delay ,152.412000,[msec] and size ,40960,
packet_index ,80, sent_timestamp ,Mon Oct 09 13:49:28 2023,received-send delay ,119.005000,[msec] and size ,40960,
packet_index ,81, sent_timestamp ,Mon Oct 09 13:49:28 2023,received-send delay ,130.379000,[msec] and size ,40960,
packet_index ,82, sent_timestamp ,Mon Oct 09 13:49:28 2023,received-send delay ,97.123000,[msec] and size ,40960,
packet_index ,83, sent_timestamp ,Mon Oct 09 13:49:28 2023,received-send delay ,98.539000,[msec] and size ,40960,
packet_index ,84, sent_timestamp ,Mon Oct 09 13:49:28 2023,received-send delay ,113.351000,[msec] and size ,40960,
packet_index ,85, sent_timestamp ,Mon Oct 09 13:49:28 2023,received-send delay ,122.373000,[msec] and size ,40960,
packet_index ,86, sent_timestamp ,Mon Oct 09 13:49:28 2023,received-send delay ,134.572000,[msec] and size ,40960,
packet_index ,87, sent_timestamp ,Mon Oct 09 13:49:28 2023,received-send delay ,101.032000,[msec] and size ,40960,
packet_index ,88, sent_timestamp ,Mon Oct 09 13:49:28 2023,received-send delay ,119.079000,[msec] and size ,40960,
packet_index ,89, sent_timestamp ,Mon Oct 09 13:49:28 2023,received-send delay ,110.986000,[msec] and size ,40960,
packet_index ,90, sent_timestamp ,Mon Oct 09 13:49:28 2023,received-send delay ,137.293000,[msec] and size ,40960,
packet_index ,91, sent_timestamp ,Mon Oct 09 13:49:28 2023,received-send delay ,130.813000,[msec] and size ,40960,
packet_index ,92, sent_timestamp ,Mon Oct 09 13:49:28 2023,received-send delay ,97.507000,[msec] and size ,40960,
packet_index ,93, sent_timestamp ,Mon Oct 09 13:49:28 2023,received-send delay ,128.046000,[msec] and size ,40960,
packet_index ,94, sent_timestamp ,Mon Oct 09 13:49:28 2023,received-send delay ,128.393000,[msec] and size ,40960,
packet_index ,95, sent_timestamp ,Mon Oct 09 13:49:28 2023,received-send delay ,95.099000,[msec] and size ,40960,
packet_index ,96, sent_timestamp ,Mon Oct 09 13:49:28 2023,received-send delay ,126.860000,[msec] and size ,40960,
packet_index ,97, sent_timestamp ,Mon Oct 09 13:49:28 2023,received-send delay ,161.829000,[msec] and size ,40960,
packet_index ,98, sent_timestamp ,Mon Oct 09 13:49:28 2023,received-send delay ,177.334000,[msec] and size ,40960,
packet_index ,99, sent_timestamp ,Mon Oct 09 13:49:28 2023,received-send delay ,144.118000,[msec] and size ,40960,
packet_index ,100, sent_timestamp ,Mon Oct 09 13:49:28 2023,received-send delay ,188.432000,[msec] and size ,40960,
packet_index ,101, sent_timestamp ,Mon Oct 09 13:49:28 2023,received-send delay ,155.164000,[msec] and size ,40960,
packet_index ,102, sent_timestamp ,Mon Oct 09 13:49:28 2023,received-send delay ,167.553000,[msec] and size ,40960,
packet_index ,103, sent_timestamp ,Mon Oct 09 13:49:28 2023,received-send delay ,134.075000,[msec] and size ,40960,
packet_index ,104, sent_timestamp ,Mon Oct 09 13:49:29 2023,received-send delay ,149.996000,[msec] and size ,40960,
packet_index ,105, sent_timestamp ,Mon Oct 09 13:49:29 2023,received-send delay ,116.635000,[msec] and size ,40960,
packet_index ,106, sent_timestamp ,Mon Oct 09 13:49:29 2023,received-send delay ,129.516000,[msec] and size ,40960,
packet_index ,107, sent_timestamp ,Mon Oct 09 13:49:29 2023,received-send delay ,96.176000,[msec] and size ,40960,
packet_index ,108, sent_timestamp ,Mon Oct 09 13:49:29 2023,received-send delay ,126.026000,[msec] and size ,40960,
packet_index ,109, sent_timestamp ,Mon Oct 09 13:49:29 2023,received-send delay ,131.513000,[msec] and size ,40960,
packet_index ,110, sent_timestamp ,Mon Oct 09 13:49:29 2023,received-send delay ,98.221000,[msec] and size ,40960,
packet_index ,111, sent_timestamp ,Mon Oct 09 13:49:29 2023,received-send delay ,129.856000,[msec] and size ,40960,
packet_index ,112, sent_timestamp ,Mon Oct 09 13:49:29 2023,received-send delay ,136.866000,[msec] and size ,40960,
packet_index ,113, sent_timestamp ,Mon Oct 09 13:49:29 2023,received-send delay ,103.558000,[msec] and size ,40960,
packet_index ,114, sent_timestamp ,Mon Oct 09 13:49:29 2023,received-send delay ,133.616000,[msec] and size ,40960,
packet_index ,115, sent_timestamp ,Mon Oct 09 13:49:29 2023,received-send delay ,100.258000,[msec] and size ,40960,
packet_index ,116, sent_timestamp ,Mon Oct 09 13:49:29 2023,received-send delay ,105.137000,[msec] and size ,40960,
packet_index ,117, sent_timestamp ,Mon Oct 09 13:49:29 2023,received-send delay ,136.322000,[msec] and size ,40960,
packet_index ,118, sent_timestamp ,Mon Oct 09 13:49:29 2023,received-send delay ,169.480000,[msec] and size ,40960,
packet_index ,119, sent_timestamp ,Mon Oct 09 13:49:29 2023,received-send delay ,186.299000,[msec] and size ,40960,
packet_index ,120, sent_timestamp ,Mon Oct 09 13:49:29 2023,received-send delay ,152.832000,[msec] and size ,40960,
packet_index ,121, sent_timestamp ,Mon Oct 09 13:49:29 2023,received-send delay ,147.813000,[msec] and size ,40960,
packet_index ,122, sent_timestamp ,Mon Oct 09 13:49:29 2023,received-send delay ,114.349000,[msec] and size ,40960,
packet_index ,123, sent_timestamp ,Mon Oct 09 13:49:29 2023,received-send delay ,138.734000,[msec] and size ,40960,
packet_index ,124, sent_timestamp ,Mon Oct 09 13:49:29 2023,received-send delay ,105.550000,[msec] and size ,40960,
packet_index ,125, sent_timestamp ,Mon Oct 09 13:49:29 2023,received-send delay ,130.891000,[msec] and size ,40960,
packet_index ,126, sent_timestamp ,Mon Oct 09 13:49:29 2023,received-send delay ,139.069000,[msec] and size ,40960,
packet_index ,127, sent_timestamp ,Mon Oct 09 13:49:29 2023,received-send delay ,105.826000,[msec] and size ,40960,
packet_index ,128, sent_timestamp ,Mon Oct 09 13:49:29 2023,received-send delay ,128.687000,[msec] and size ,40960,
packet_index ,129, sent_timestamp ,Mon Oct 09 13:49:29 2023,received-send delay ,158.954000,[msec] and size ,40960,
packet_index ,130, sent_timestamp ,Mon Oct 09 13:49:29 2023,received-send delay ,125.818000,[msec] and size ,40960,
packet_index ,131, sent_timestamp ,Mon Oct 09 13:49:29 2023,received-send delay ,135.943000,[msec] and size ,40960,
packet_index ,132, sent_timestamp ,Mon Oct 09 13:49:29 2023,received-send delay ,102.524000,[msec] and size ,40960,
packet_index ,133, sent_timestamp ,Mon Oct 09 13:49:30 2023,received-send delay ,126.448000,[msec] and size ,40960,
packet_index ,134, sent_timestamp ,Mon Oct 09 13:49:30 2023,received-send delay ,149.579000,[msec] and size ,40960,
packet_index ,135, sent_timestamp ,Mon Oct 09 13:49:30 2023,received-send delay ,180.427000,[msec] and size ,40960,
packet_index ,136, sent_timestamp ,Mon Oct 09 13:49:30 2023,received-send delay ,147.170000,[msec] and size ,40960,
packet_index ,137, sent_timestamp ,Mon Oct 09 13:49:30 2023,received-send delay ,172.219000,[msec] and size ,40960,
packet_index ,138, sent_timestamp ,Mon Oct 09 13:49:30 2023,received-send delay ,139.058000,[msec] and size ,40960,
packet_index ,139, sent_timestamp ,Mon Oct 09 13:49:30 2023,received-send delay ,143.687000,[msec] and size ,40960,
packet_index ,140, sent_timestamp ,Mon Oct 09 13:49:30 2023,received-send delay ,110.454000,[msec] and size ,40960,
packet_index ,141, sent_timestamp ,Mon Oct 09 13:49:30 2023,received-send delay ,136.451000,[msec] and size ,40960,
packet_index ,142, sent_timestamp ,Mon Oct 09 13:49:30 2023,received-send delay ,132.076000,[msec] and size ,40960,
packet_index ,143, sent_timestamp ,Mon Oct 09 13:49:30 2023,received-send delay ,161.228000,[msec] and size ,40960,
packet_index ,144, sent_timestamp ,Mon Oct 09 13:49:30 2023,received-send delay ,127.901000,[msec] and size ,40960,
packet_index ,145, sent_timestamp ,Mon Oct 09 13:49:30 2023,received-send delay ,152.380000,[msec] and size ,40960,
packet_index ,146, sent_timestamp ,Mon Oct 09 13:49:30 2023,received-send delay ,119.206000,[msec] and size ,40960,
packet_index ,147, sent_timestamp ,Mon Oct 09 13:49:30 2023,received-send delay ,136.162000,[msec] and size ,40960,
packet_index ,148, sent_timestamp ,Mon Oct 09 13:49:30 2023,received-send delay ,141.089000,[msec] and size ,40960,
packet_index ,149, sent_timestamp ,Mon Oct 09 13:49:30 2023,received-send delay ,107.812000,[msec] and size ,40960,
packet_index ,150, sent_timestamp ,Mon Oct 09 13:49:30 2023,received-send delay ,118.637000,[msec] and size ,40960,
packet_index ,151, sent_timestamp ,Mon Oct 09 13:49:30 2023,received-send delay ,116.668000,[msec] and size ,40960,
packet_index ,152, sent_timestamp ,Mon Oct 09 13:49:30 2023,received-send delay ,129.521000,[msec] and size ,40960,
packet_index ,153, sent_timestamp ,Mon Oct 09 13:49:30 2023,received-send delay ,154.896000,[msec] and size ,40960,
packet_index ,154, sent_timestamp ,Mon Oct 09 13:49:30 2023,received-send delay ,121.784000,[msec] and size ,40960,
packet_index ,155, sent_timestamp ,Mon Oct 09 13:49:30 2023,received-send delay ,164.101000,[msec] and size ,40960,
packet_index ,156, sent_timestamp ,Mon Oct 09 13:49:30 2023,received-send delay ,188.376000,[msec] and size ,40960,
