packet_index is ,115, and delayed_time is ,129.000000, [usec]
packet_index is ,116, and delayed_time is ,128.000000, [usec]
packet_index is ,117, and delayed_time is ,127.000000, [usec]
packet_index is ,118, and delayed_time is ,130.000000, [usec]
packet_index is ,119, and delayed_time is ,135.000000, [usec]
packet_index is ,120, and delayed_time is ,136.000000, [usec]
packet_index is ,121, and delayed_time is ,134.000000, [usec]
packet_index is ,122, and delayed_time is ,150.000000, [usec]
packet_index is ,123, and delayed_time is ,146.000000, [usec]
packet_index is ,124, and delayed_time is ,137.000000, [usec]
packet_index is ,125, and delayed_time is ,91.000000, [usec]
packet_index is ,126, and delayed_time is ,91.000000, [usec]
packet_index is ,127, and delayed_time is ,146.000000, [usec]
packet_index is ,128, and delayed_time is ,140.000000, [usec]
packet_index is ,129, and delayed_time is ,133.000000, [usec]
packet_index is ,130, and delayed_time is ,126.000000, [usec]
packet_index is ,131, and delayed_time is ,123.000000, [usec]
packet_index is ,132, and delayed_time is ,123.000000, [usec]
packet_index is ,133, and delayed_time is ,122.000000, [usec]
packet_index is ,134, and delayed_time is ,122.000000, [usec]
packet_index is ,135, and delayed_time is ,122.000000, [usec]
packet_index is ,136, and delayed_time is ,126.000000, [usec]
packet_index is ,137, and delayed_time is ,128.000000, [usec]
packet_index is ,138, and delayed_time is ,132.000000, [usec]
packet_index is ,139, and delayed_time is ,133.000000, [usec]
packet_index is ,140, and delayed_time is ,128.000000, [usec]
packet_index is ,141, and delayed_time is ,128.000000, [usec]
packet_index is ,142, and delayed_time is ,99.000000, [usec]
packet_index is ,143, and delayed_time is ,129.000000, [usec]
packet_index is ,144, and delayed_time is ,142.000000, [usec]
packet_index is ,145, and delayed_time is ,140.000000, [usec]
packet_index is ,146, and delayed_time is ,144.000000, [usec]
packet_index is ,147, and delayed_time is ,85.000000, [usec]
packet_index is ,148, and delayed_time is ,140.000000, [usec]
packet_index is ,149, and delayed_time is ,144.000000, [usec]
packet_index is ,150, and delayed_time is ,137.000000, [usec]
packet_index is ,151, and delayed_time is ,136.000000, [usec]
packet_index is ,152, and delayed_time is ,92.000000, [usec]
packet_index is ,153, and delayed_time is ,144.000000, [usec]
packet_index is ,154, and delayed_time is ,131.000000, [usec]
packet_index is ,155, and delayed_time is ,123.000000, [usec]
packet_index is ,156, and delayed_time is ,128.000000, [usec]
packet_index is ,157, and delayed_time is ,78.000000, [usec]
packet_index is ,158, and delayed_time is ,135.000000, [usec]
packet_index is ,159, and delayed_time is ,122.000000, [usec]
packet_index is ,160, and delayed_time is ,131.000000, [usec]
packet_index is ,161, and delayed_time is ,123.000000, [usec]
packet_index is ,162, and delayed_time is ,149.000000, [usec]
packet_index is ,163, and delayed_time is ,128.000000, [usec]
packet_index is ,164, and delayed_time is ,136.000000, [usec]
packet_index is ,165, and delayed_time is ,134.000000, [usec]
packet_index is ,166, and delayed_time is ,127.000000, [usec]
packet_index is ,167, and delayed_time is ,154.000000, [usec]
packet_index is ,168, and delayed_time is ,127.000000, [usec]
packet_index is ,169, and delayed_time is ,129.000000, [usec]
packet_index is ,170, and delayed_time is ,278.000000, [usec]
packet_index is ,171, and delayed_time is ,135.000000, [usec]
packet_index is ,172, and delayed_time is ,167.000000, [usec]
packet_index is ,173, and delayed_time is ,97.000000, [usec]
packet_index is ,174, and delayed_time is ,150.000000, [usec]
packet_index is ,175, and delayed_time is ,134.000000, [usec]
packet_index is ,176, and delayed_time is ,147.000000, [usec]
packet_index is ,177, and delayed_time is ,173.000000, [usec]
packet_index is ,178, and delayed_time is ,125.000000, [usec]
packet_index is ,179, and delayed_time is ,147.000000, [usec]
packet_index is ,180, and delayed_time is ,148.000000, [usec]
packet_index is ,181, and delayed_time is ,140.000000, [usec]
packet_index is ,182, and delayed_time is ,158.000000, [usec]
packet_index is ,183, and delayed_time is ,141.000000, [usec]
packet_index is ,184, and delayed_time is ,138.000000, [usec]
packet_index is ,185, and delayed_time is ,169.000000, [usec]
packet_index is ,186, and delayed_time is ,149.000000, [usec]
packet_index is ,187, and delayed_time is ,101.000000, [usec]
packet_index is ,188, and delayed_time is ,127.000000, [usec]
packet_index is ,189, and delayed_time is ,130.000000, [usec]
packet_index is ,190, and delayed_time is ,131.000000, [usec]
packet_index is ,191, and delayed_time is ,128.000000, [usec]
packet_index is ,192, and delayed_time is ,144.000000, [usec]
packet_index is ,193, and delayed_time is ,127.000000, [usec]
packet_index is ,194, and delayed_time is ,128.000000, [usec]
packet_index is ,195, and delayed_time is ,134.000000, [usec]
packet_index is ,196, and delayed_time is ,129.000000, [usec]
packet_index is ,197, and delayed_time is ,129.000000, [usec]
packet_index is ,198, and delayed_time is ,131.000000, [usec]
packet_index is ,199, and delayed_time is ,149.000000, [usec]
packet_index is ,200, and delayed_time is ,134.000000, [usec]
packet_index is ,201, and delayed_time is ,81.000000, [usec]
packet_index is ,202, and delayed_time is ,96.000000, [usec]
packet_index is ,203, and delayed_time is ,95.000000, [usec]
packet_index is ,204, and delayed_time is ,103.000000, [usec]
packet_index is ,205, and delayed_time is ,98.000000, [usec]
packet_index is ,206, and delayed_time is ,97.000000, [usec]
packet_index is ,207, and delayed_time is ,141.000000, [usec]
packet_index is ,208, and delayed_time is ,144.000000, [usec]
packet_index is ,209, and delayed_time is ,124.000000, [usec]
