start--------------------------------------------
sender's timestamp ,1689127640.7564437,received timestamp ,1689127641.6803505, E2E delay ,0.9239068031311035, and size ,15360,
sender's timestamp ,1689127640.7792537,received timestamp ,1689127641.6921356, E2E delay ,0.9128818511962891, and size ,15360,
sender's timestamp ,1689127640.7922044,received timestamp ,1689127641.703813, E2E delay ,0.9116086959838867, and size ,15360,
sender's timestamp ,1689127640.8032627,received timestamp ,1689127641.719004, E2E delay ,0.9157412052154541, and size ,15360,
sender's timestamp ,1689127640.8173633,received timestamp ,1689127641.7302353, E2E delay ,0.9128720760345459, and size ,15360,
sender's timestamp ,1689127640.832572,received timestamp ,1689127641.744189, E2E delay ,0.9116170406341553, and size ,15360,
sender's timestamp ,1689127640.842915,received timestamp ,1689127641.7600334, E2E delay ,0.9171183109283447, and size ,15360,
sender's timestamp ,1689127640.8585896,received timestamp ,1689127641.7744071, E2E delay ,0.9158174991607666, and size ,15360,
sender's timestamp ,1689127640.8743415,received timestamp ,1689127641.7883043, E2E delay ,0.9139628410339355, and size ,15360,
sender's timestamp ,1689127640.8911746,received timestamp ,1689127641.804549, E2E delay ,0.9133744239807129, and size ,15360,
sender's timestamp ,1689127640.9054446,received timestamp ,1689127641.8258119, E2E delay ,0.9203672409057617, and size ,15360,
sender's timestamp ,1689127640.9296286,received timestamp ,1689127641.842705, E2E delay ,0.9130764007568359, and size ,15360,
sender's timestamp ,1689127640.942554,received timestamp ,1689127641.8581421, E2E delay ,0.9155881404876709, and size ,15360,
sender's timestamp ,1689127640.9572139,received timestamp ,1689127641.8706255, E2E delay ,0.9134116172790527, and size ,15360,
sender's timestamp ,1689127640.9694595,received timestamp ,1689127641.8809402, E2E delay ,0.9114806652069092, and size ,15360,
sender's timestamp ,1689127640.9814866,received timestamp ,1689127641.8948257, E2E delay ,0.9133391380310059, and size ,15360,
sender's timestamp ,1689127640.9954305,received timestamp ,1689127641.9085498, E2E delay ,0.9131193161010742, and size ,15360,
sender's timestamp ,1689127641.0071993,received timestamp ,1689127641.9191608, E2E delay ,0.911961555480957, and size ,15360,
sender's timestamp ,1689127641.0189118,received timestamp ,1689127641.9290798, E2E delay ,0.910167932510376, and size ,15360,
sender's timestamp ,1689127641.0295568,received timestamp ,1689127641.9425695, E2E delay ,0.9130127429962158, and size ,15360,
sender's timestamp ,1689127641.041213,received timestamp ,1689127641.9560297, E2E delay ,0.9148166179656982, and size ,15360,
sender's timestamp ,1689127641.0595717,received timestamp ,1689127641.9708817, E2E delay ,0.9113099575042725, and size ,15360,
sender's timestamp ,1689127641.0702229,received timestamp ,1689127641.9843626, E2E delay ,0.9141397476196289, and size ,15360,
sender's timestamp ,1689127641.082723,received timestamp ,1689127641.9962394, E2E delay ,0.9135165214538574, and size ,15360,
sender's timestamp ,1689127641.0953605,received timestamp ,1689127642.0074854, E2E delay ,0.9121248722076416, and size ,15360,
sender's timestamp ,1689127641.3216166,received timestamp ,1689127642.2350245, E2E delay ,0.9134078025817871, and size ,15360,
sender's timestamp ,1689127641.3347476,received timestamp ,1689127642.2446263, E2E delay ,0.9098787307739258, and size ,15360,
sender's timestamp ,1689127641.3449998,received timestamp ,1689127642.2611828, E2E delay ,0.9161829948425293, and size ,15360,
sender's timestamp ,1689127641.3611588,received timestamp ,1689127642.2743824, E2E delay ,0.9132235050201416, and size ,15360,
sender's timestamp ,1689127641.3747528,received timestamp ,1689127642.2902446, E2E delay ,0.9154918193817139, and size ,15360,
sender's timestamp ,1689127641.3877318,received timestamp ,1689127642.3016758, E2E delay ,0.9139440059661865, and size ,15360,
sender's timestamp ,1689127641.4006076,received timestamp ,1689127642.312883, E2E delay ,0.9122753143310547, and size ,15360,
sender's timestamp ,1689127641.4146733,received timestamp ,1689127642.3273585, E2E delay ,0.9126851558685303, and size ,15360,
sender's timestamp ,1689127641.4252627,received timestamp ,1689127642.3384752, E2E delay ,0.9132125377655029, and size ,15360,
sender's timestamp ,1689127641.4373274,received timestamp ,1689127642.3472755, E2E delay ,0.9099481105804443, and size ,15360,
sender's timestamp ,1689127641.4486346,received timestamp ,1689127642.3624792, E2E delay ,0.9138445854187012, and size ,15360,
