start--------------------------------------------
Received frame with timestamp ,1687243019.64, E2E delay ,2.41611337662, and size ,327680,
Received frame with timestamp ,1687243019.72, E2E delay ,2.45843935013, and size ,327680,
Received frame with timestamp ,1687243019.88, E2E delay ,2.57312464714, and size ,327680,
Received frame with timestamp ,1687243020.23, E2E delay ,2.36263871193, and size ,327680,
Received frame with timestamp ,1687243020.32, E2E delay ,2.33503031731, and size ,327680,
Received frame with timestamp ,1687243020.38, E2E delay ,2.42562007904, and size ,327680,
Received frame with timestamp ,1687243020.43, E2E delay ,2.44134759903, and size ,327680,
Received frame with timestamp ,1687243020.67, E2E delay ,2.28589367867, and size ,327680,
Received frame with timestamp ,1687243020.75, E2E delay ,2.30842351913, and size ,327680,
Received frame with timestamp ,1687243020.93, E2E delay ,2.26410531998, and size ,327680,
Received frame with timestamp ,1687243020.98, E2E delay ,2.27371287346, and size ,327680,
Received frame with timestamp ,1687243021.05, E2E delay ,2.32927799225, and size ,327680,
Received frame with timestamp ,1687243021.15, E2E delay ,2.28987073898, and size ,327680,
Received frame with timestamp ,1687243021.31, E2E delay ,2.210085392, and size ,327680,
Received frame with timestamp ,1687243021.4, E2E delay ,2.23932242393, and size ,327680,
Received frame with timestamp ,1687243021.58, E2E delay ,2.21426010132, and size ,327680,
Received frame with timestamp ,1687243021.65, E2E delay ,2.20819854736, and size ,327680,
Received frame with timestamp ,1687243021.73, E2E delay ,2.28931045532, and size ,327680,
Received frame with timestamp ,1687243022.03, E2E delay ,2.11450767517, and size ,327680,
Received frame with timestamp ,1687243022.13, E2E delay ,2.15517735481, and size ,327680,
Received frame with timestamp ,1687243022.2, E2E delay ,2.19724726677, and size ,327680,
Received frame with timestamp ,1687243022.26, E2E delay ,2.23333215714, and size ,327680,
Received frame with timestamp ,1687243022.43, E2E delay ,2.15768003464, and size ,327680,
Received frame with timestamp ,1687243022.59, E2E delay ,2.09441065788, and size ,327680,
Received frame with timestamp ,1687243022.68, E2E delay ,2.09986948967, and size ,327680,
Received frame with timestamp ,1687243022.77, E2E delay ,2.10068845749, and size ,327680,
Received frame with timestamp ,1687243022.85, E2E delay ,2.15937113762, and size ,327680,
Received frame with timestamp ,1687243022.92, E2E delay ,2.21836566925, and size ,327680,
Received frame with timestamp ,1687243023.02, E2E delay ,2.24848103523, and size ,327680,
Received frame with timestamp ,1687243023.16, E2E delay ,2.20508027077, and size ,327680,
Received frame with timestamp ,1687243023.38, E2E delay ,2.1282479763, and size ,327680,
Received frame with timestamp ,1687243023.41, E2E delay ,2.17709732056, and size ,327680,
Received frame with timestamp ,1687243023.61, E2E delay ,2.09751009941, and size ,327680,
Received frame with timestamp ,1687243023.98, E2E delay ,1.795535326, and size ,327680,
Received frame with timestamp ,1687243024.03, E2E delay ,1.82300376892, and size ,327680,
Received frame with timestamp ,1687243024.08, E2E delay ,1.88189864159, and size ,327680,
Received frame with timestamp ,1687243024.11, E2E delay ,1.97354340553, and size ,327680,
Received frame with timestamp ,1687243024.15, E2E delay ,2.00109219551, and size ,327680,
Received frame with timestamp ,1687243024.18, E2E delay ,2.03476548195, and size ,327680,
Received frame with timestamp ,1687243024.25, E2E delay ,2.0894536972, and size ,327680,
Received frame with timestamp ,1687243024.43, E2E delay ,2.02938771248, and size ,327680,
Received frame with timestamp ,1687243024.53, E2E delay ,1.99403715134, and size ,327680,
Received frame with timestamp ,1687243024.58, E2E delay ,2.07796669006, and size ,327680,
Received frame with timestamp ,1687243024.66, E2E delay ,2.05736088753, and size ,327680,
Received frame with timestamp ,1687243024.75, E2E delay ,2.06435513496, and size ,327680,
Received frame with timestamp ,1687243024.85, E2E delay ,2.06823015213, and size ,327680,
Received frame with timestamp ,1687243025.02, E2E delay ,1.9754679203, and size ,327680,
Received frame with timestamp ,1687243025.11, E2E delay ,2.02000308037, and size ,327680,
Received frame with timestamp ,1687243025.25, E2E delay ,2.02971506119, and size ,327680,
Received frame with timestamp ,1687243025.32, E2E delay ,2.02228140831, and size ,327680,
Received frame with timestamp ,1687243025.5, E2E delay ,2.17947936058, and size ,327680,
Received frame with timestamp ,1687243025.56, E2E delay ,2.1850104332, and size ,327680,
Received frame with timestamp ,1687243025.72, E2E delay ,2.24894022942, and size ,327680,
Received frame with timestamp ,1687243025.76, E2E delay ,2.28694820404, and size ,327680,
Received frame with timestamp ,1687243025.85, E2E delay ,2.66160559654, and size ,327680,
Received frame with timestamp ,1687243025.93, E2E delay ,2.82219481468, and size ,327680,
Received frame with timestamp ,1687243026.12, E2E delay ,2.80791497231, and size ,327680,
Received frame with timestamp ,1687243026.19, E2E delay ,2.93271493912, and size ,327680,
Received frame with timestamp ,1687243026.27, E2E delay ,3.10797595978, and size ,327680,
Received frame with timestamp ,1687243026.31, E2E delay ,3.124386549, and size ,327680,
