start--------------------------------------------
packet_index ,54, sent_timestamp ,Mon Oct 09 14:44:38 2023,received-send delay ,2956.556000,[msec] and size ,40960,
packet_index ,55, sent_timestamp ,Mon Oct 09 14:44:38 2023,received-send delay ,2959.828000,[msec] and size ,40960,
packet_index ,56, sent_timestamp ,Mon Oct 09 14:44:38 2023,received-send delay ,2961.954000,[msec] and size ,40960,
packet_index ,57, sent_timestamp ,Mon Oct 09 14:44:38 2023,received-send delay ,2962.164000,[msec] and size ,40960,
packet_index ,58, sent_timestamp ,Mon Oct 09 14:44:38 2023,received-send delay ,3009.648000,[msec] and size ,40960,
packet_index ,59, sent_timestamp ,Mon Oct 09 14:44:38 2023,received-send delay ,3005.512000,[msec] and size ,40960,
packet_index ,60, sent_timestamp ,Mon Oct 09 14:44:38 2023,received-send delay ,3007.426000,[msec] and size ,40960,
packet_index ,61, sent_timestamp ,Mon Oct 09 14:44:38 2023,received-send delay ,3007.945000,[msec] and size ,40960,
packet_index ,62, sent_timestamp ,Mon Oct 09 14:44:38 2023,received-send delay ,3032.226000,[msec] and size ,40960,
packet_index ,63, sent_timestamp ,Mon Oct 09 14:44:38 2023,received-send delay ,3104.051000,[msec] and size ,40960,
packet_index ,64, sent_timestamp ,Mon Oct 09 14:44:39 2023,received-send delay ,3107.979000,[msec] and size ,40960,
packet_index ,65, sent_timestamp ,Mon Oct 09 14:44:39 2023,received-send delay ,3088.612000,[msec] and size ,40960,
packet_index ,66, sent_timestamp ,Mon Oct 09 14:44:39 2023,received-send delay ,2986.016000,[msec] and size ,40960,
packet_index ,67, sent_timestamp ,Mon Oct 09 14:44:39 2023,received-send delay ,2923.268000,[msec] and size ,40960,
packet_index ,68, sent_timestamp ,Mon Oct 09 14:44:39 2023,received-send delay ,2846.045000,[msec] and size ,40960,
packet_index ,69, sent_timestamp ,Mon Oct 09 14:44:39 2023,received-send delay ,3055.529000,[msec] and size ,40960,
packet_index ,70, sent_timestamp ,Mon Oct 09 14:44:39 2023,received-send delay ,3064.329000,[msec] and size ,40960,
packet_index ,71, sent_timestamp ,Mon Oct 09 14:44:39 2023,received-send delay ,3020.719000,[msec] and size ,40960,
packet_index ,72, sent_timestamp ,Mon Oct 09 14:44:39 2023,received-send delay ,2954.976000,[msec] and size ,40960,
packet_index ,73, sent_timestamp ,Mon Oct 09 14:44:39 2023,received-send delay ,2738.435000,[msec] and size ,40960,
packet_index ,74, sent_timestamp ,Mon Oct 09 14:44:39 2023,received-send delay ,2619.131000,[msec] and size ,40960,
packet_index ,75, sent_timestamp ,Mon Oct 09 14:44:40 2023,received-send delay ,2514.273000,[msec] and size ,40960,
packet_index ,76, sent_timestamp ,Mon Oct 09 14:44:40 2023,received-send delay ,2378.390000,[msec] and size ,40960,
packet_index ,77, sent_timestamp ,Mon Oct 09 14:44:40 2023,received-send delay ,2209.584000,[msec] and size ,40960,
packet_index ,78, sent_timestamp ,Mon Oct 09 14:44:40 2023,received-send delay ,2111.528000,[msec] and size ,40960,
packet_index ,79, sent_timestamp ,Mon Oct 09 14:44:40 2023,received-send delay ,2111.455000,[msec] and size ,40960,
packet_index ,80, sent_timestamp ,Mon Oct 09 14:44:40 2023,received-send delay ,2078.041000,[msec] and size ,40960,
packet_index ,81, sent_timestamp ,Mon Oct 09 14:44:40 2023,received-send delay ,2044.578000,[msec] and size ,40960,
packet_index ,82, sent_timestamp ,Mon Oct 09 14:44:40 2023,received-send delay ,2011.117000,[msec] and size ,40960,
packet_index ,83, sent_timestamp ,Mon Oct 09 14:44:40 2023,received-send delay ,1926.286000,[msec] and size ,40960,
packet_index ,84, sent_timestamp ,Mon Oct 09 14:44:40 2023,received-send delay ,1892.928000,[msec] and size ,40960,
packet_index ,85, sent_timestamp ,Mon Oct 09 14:44:40 2023,received-send delay ,1836.681000,[msec] and size ,40960,
packet_index ,86, sent_timestamp ,Mon Oct 09 14:44:40 2023,received-send delay ,1789.540000,[msec] and size ,40960,
packet_index ,87, sent_timestamp ,Mon Oct 09 14:44:40 2023,received-send delay ,1756.159000,[msec] and size ,40960,
packet_index ,88, sent_timestamp ,Mon Oct 09 14:44:40 2023,received-send delay ,1722.795000,[msec] and size ,40960,
packet_index ,89, sent_timestamp ,Mon Oct 09 14:44:40 2023,received-send delay ,1689.342000,[msec] and size ,40960,
packet_index ,90, sent_timestamp ,Mon Oct 09 14:44:40 2023,received-send delay ,1655.888000,[msec] and size ,40960,
packet_index ,91, sent_timestamp ,Mon Oct 09 14:44:40 2023,received-send delay ,1622.485000,[msec] and size ,40960,
packet_index ,92, sent_timestamp ,Mon Oct 09 14:44:41 2023,received-send delay ,1589.084000,[msec] and size ,40960,
packet_index ,93, sent_timestamp ,Mon Oct 09 14:44:41 2023,received-send delay ,1555.541000,[msec] and size ,40960,
packet_index ,94, sent_timestamp ,Mon Oct 09 14:44:41 2023,received-send delay ,1522.181000,[msec] and size ,40960,
packet_index ,95, sent_timestamp ,Mon Oct 09 14:44:41 2023,received-send delay ,1488.715000,[msec] and size ,40960,
packet_index ,96, sent_timestamp ,Mon Oct 09 14:44:41 2023,received-send delay ,1455.310000,[msec] and size ,40960,
packet_index ,97, sent_timestamp ,Mon Oct 09 14:44:41 2023,received-send delay ,1421.922000,[msec] and size ,40960,
packet_index ,98, sent_timestamp ,Mon Oct 09 14:44:41 2023,received-send delay ,1388.567000,[msec] and size ,40960,
packet_index ,99, sent_timestamp ,Mon Oct 09 14:44:41 2023,received-send delay ,1355.142000,[msec] and size ,40960,
packet_index ,100, sent_timestamp ,Mon Oct 09 14:44:41 2023,received-send delay ,1321.759000,[msec] and size ,40960,
packet_index ,101, sent_timestamp ,Mon Oct 09 14:44:41 2023,received-send delay ,1288.411000,[msec] and size ,40960,
packet_index ,102, sent_timestamp ,Mon Oct 09 14:44:41 2023,received-send delay ,1255.044000,[msec] and size ,40960,
packet_index ,103, sent_timestamp ,Mon Oct 09 14:44:41 2023,received-send delay ,1221.705000,[msec] and size ,40960,
packet_index ,104, sent_timestamp ,Mon Oct 09 14:44:41 2023,received-send delay ,1188.315000,[msec] and size ,40960,
packet_index ,105, sent_timestamp ,Mon Oct 09 14:44:41 2023,received-send delay ,1101.965000,[msec] and size ,40960,
packet_index ,106, sent_timestamp ,Mon Oct 09 14:44:41 2023,received-send delay ,1068.600000,[msec] and size ,40960,
packet_index ,107, sent_timestamp ,Mon Oct 09 14:44:41 2023,received-send delay ,1107.877000,[msec] and size ,40960,
packet_index ,108, sent_timestamp ,Mon Oct 09 14:44:41 2023,received-send delay ,1099.822000,[msec] and size ,40960,
packet_index ,109, sent_timestamp ,Mon Oct 09 14:44:41 2023,received-send delay ,1101.699000,[msec] and size ,40960,
packet_index ,110, sent_timestamp ,Mon Oct 09 14:44:41 2023,received-send delay ,1123.568000,[msec] and size ,40960,
packet_index ,111, sent_timestamp ,Mon Oct 09 14:44:41 2023,received-send delay ,1042.434000,[msec] and size ,40960,
packet_index ,112, sent_timestamp ,Mon Oct 09 14:44:41 2023,received-send delay ,1146.871000,[msec] and size ,40960,
packet_index ,113, sent_timestamp ,Mon Oct 09 14:44:41 2023,received-send delay ,1113.583000,[msec] and size ,40960,
packet_index ,114, sent_timestamp ,Mon Oct 09 14:44:41 2023,received-send delay ,1080.220000,[msec] and size ,40960,
packet_index ,115, sent_timestamp ,Mon Oct 09 14:44:41 2023,received-send delay ,1084.306000,[msec] and size ,40960,
packet_index ,116, sent_timestamp ,Mon Oct 09 14:44:42 2023,received-send delay ,1020.439000,[msec] and size ,40960,
packet_index ,117, sent_timestamp ,Mon Oct 09 14:44:42 2023,received-send delay ,1017.543000,[msec] and size ,40960,
packet_index ,118, sent_timestamp ,Mon Oct 09 14:44:42 2023,received-send delay ,1012.085000,[msec] and size ,40960,
packet_index ,119, sent_timestamp ,Mon Oct 09 14:44:42 2023,received-send delay ,978.550000,[msec] and size ,40960,
packet_index ,120, sent_timestamp ,Mon Oct 09 14:44:42 2023,received-send delay ,974.547000,[msec] and size ,40960,
packet_index ,121, sent_timestamp ,Mon Oct 09 14:44:42 2023,received-send delay ,941.288000,[msec] and size ,40960,
packet_index ,122, sent_timestamp ,Mon Oct 09 14:44:42 2023,received-send delay ,935.366000,[msec] and size ,40960,
packet_index ,123, sent_timestamp ,Mon Oct 09 14:44:42 2023,received-send delay ,938.971000,[msec] and size ,40960,
packet_index ,124, sent_timestamp ,Mon Oct 09 14:44:42 2023,received-send delay ,905.815000,[msec] and size ,40960,
packet_index ,125, sent_timestamp ,Mon Oct 09 14:44:42 2023,received-send delay ,685.458000,[msec] and size ,40960,
packet_index ,126, sent_timestamp ,Mon Oct 09 14:44:42 2023,received-send delay ,680.106000,[msec] and size ,40960,
packet_index ,127, sent_timestamp ,Mon Oct 09 14:44:42 2023,received-send delay ,646.619000,[msec] and size ,40960,
packet_index ,128, sent_timestamp ,Mon Oct 09 14:44:42 2023,received-send delay ,613.289000,[msec] and size ,40960,
packet_index ,129, sent_timestamp ,Mon Oct 09 14:44:42 2023,received-send delay ,611.058000,[msec] and size ,40960,
packet_index ,130, sent_timestamp ,Mon Oct 09 14:44:42 2023,received-send delay ,609.697000,[msec] and size ,40960,
packet_index ,131, sent_timestamp ,Mon Oct 09 14:44:42 2023,received-send delay ,576.258000,[msec] and size ,40960,
packet_index ,132, sent_timestamp ,Mon Oct 09 14:44:42 2023,received-send delay ,586.890000,[msec] and size ,40960,
packet_index ,133, sent_timestamp ,Mon Oct 09 14:44:42 2023,received-send delay ,591.967000,[msec] and size ,40960,
packet_index ,134, sent_timestamp ,Mon Oct 09 14:44:42 2023,received-send delay ,558.687000,[msec] and size ,40960,
packet_index ,135, sent_timestamp ,Mon Oct 09 14:44:42 2023,received-send delay ,551.806000,[msec] and size ,40960,
packet_index ,136, sent_timestamp ,Mon Oct 09 14:44:42 2023,received-send delay ,546.424000,[msec] and size ,40960,
packet_index ,137, sent_timestamp ,Mon Oct 09 14:44:42 2023,received-send delay ,513.105000,[msec] and size ,40960,
packet_index ,138, sent_timestamp ,Mon Oct 09 14:44:42 2023,received-send delay ,508.819000,[msec] and size ,40960,
packet_index ,139, sent_timestamp ,Mon Oct 09 14:44:43 2023,received-send delay ,475.205000,[msec] and size ,40960,
packet_index ,140, sent_timestamp ,Mon Oct 09 14:44:43 2023,received-send delay ,467.323000,[msec] and size ,40960,
packet_index ,141, sent_timestamp ,Mon Oct 09 14:44:43 2023,received-send delay ,463.369000,[msec] and size ,40960,
packet_index ,142, sent_timestamp ,Mon Oct 09 14:44:43 2023,received-send delay ,429.952000,[msec] and size ,40960,
packet_index ,143, sent_timestamp ,Mon Oct 09 14:44:43 2023,received-send delay ,424.449000,[msec] and size ,40960,
packet_index ,144, sent_timestamp ,Mon Oct 09 14:44:43 2023,received-send delay ,391.070000,[msec] and size ,40960,
packet_index ,145, sent_timestamp ,Mon Oct 09 14:44:43 2023,received-send delay ,386.663000,[msec] and size ,40960,
