start--------------------------------------------
packet_index ,1, sent_timestamp ,1689162245.9518108, received_timestamp,1689162246.800874,received-send delay ,0.8490631580352783, and size ,8192,
packet_index ,2, sent_timestamp ,1689162246.6712105, received_timestamp,1689162246.8971343,received-send delay ,0.22592377662658691, and size ,8192,
packet_index ,3, sent_timestamp ,1689162246.7419086, received_timestamp,1689162246.9267886,received-send delay ,0.18488001823425293, and size ,8192,
packet_index ,4, sent_timestamp ,1689162246.8125436, received_timestamp,1689162246.9546638,received-send delay ,0.1421201229095459, and size ,8192,
packet_index ,5, sent_timestamp ,1689162246.8468761, received_timestamp,1689162246.9956276,received-send delay ,0.14875149726867676, and size ,8192,
packet_index ,6, sent_timestamp ,1689162246.880917, received_timestamp,1689162247.025475,received-send delay ,0.14455795288085938, and size ,8192,
packet_index ,7, sent_timestamp ,1689162246.9147644, received_timestamp,1689162247.0412254,received-send delay ,0.12646102905273438, and size ,8192,
packet_index ,8, sent_timestamp ,1689162246.949018, received_timestamp,1689162247.0935178,received-send delay ,0.1444997787475586, and size ,8192,
packet_index ,9, sent_timestamp ,1689162246.982743, received_timestamp,1689162247.0951726,received-send delay ,0.11242961883544922, and size ,8192,
packet_index ,10, sent_timestamp ,1689162247.020778, received_timestamp,1689162247.1039124,received-send delay ,0.08313441276550293, and size ,8192,
packet_index ,11, sent_timestamp ,1689162247.0548303, received_timestamp,1689162247.1275415,received-send delay ,0.07271122932434082, and size ,8192,
packet_index ,12, sent_timestamp ,1689162247.0900986, received_timestamp,1689162247.1537392,received-send delay ,0.06364059448242188, and size ,8192,
packet_index ,13, sent_timestamp ,1689162247.1262147, received_timestamp,1689162247.2031746,received-send delay ,0.07695984840393066, and size ,8192,
packet_index ,14, sent_timestamp ,1689162247.1622217, received_timestamp,1689162247.285192,received-send delay ,0.1229703426361084, and size ,8192,
packet_index ,15, sent_timestamp ,1689162247.1983383, received_timestamp,1689162247.316208,received-send delay ,0.11786961555480957, and size ,8192,
packet_index ,16, sent_timestamp ,1689162247.233408, received_timestamp,1689162247.3272154,received-send delay ,0.09380745887756348, and size ,8192,
packet_index ,17, sent_timestamp ,1689162247.2689285, received_timestamp,1689162247.3476944,received-send delay ,0.078765869140625, and size ,8192,
packet_index ,18, sent_timestamp ,1689162247.3045177, received_timestamp,1689162247.374009,received-send delay ,0.06949114799499512, and size ,8192,
packet_index ,19, sent_timestamp ,1689162247.3399262, received_timestamp,1689162247.4101105,received-send delay ,0.07018423080444336, and size ,8192,
packet_index ,20, sent_timestamp ,1689162247.3756971, received_timestamp,1689162247.439396,received-send delay ,0.06369876861572266, and size ,8192,
packet_index ,21, sent_timestamp ,1689162247.4119818, received_timestamp,1689162247.4695807,received-send delay ,0.05759882926940918, and size ,8192,
packet_index ,22, sent_timestamp ,1689162247.4472306, received_timestamp,1689162247.5185814,received-send delay ,0.0713508129119873, and size ,8192,
packet_index ,23, sent_timestamp ,1689162247.4815245, received_timestamp,1689162247.5371614,received-send delay ,0.05563688278198242, and size ,8192,
packet_index ,24, sent_timestamp ,1689162247.5156286, received_timestamp,1689162247.582628,received-send delay ,0.06699943542480469, and size ,8192,
packet_index ,25, sent_timestamp ,1689162247.5495572, received_timestamp,1689162247.6189613,received-send delay ,0.06940412521362305, and size ,8192,
packet_index ,26, sent_timestamp ,1689162247.5838091, received_timestamp,1689162247.6487691,received-send delay ,0.06496000289916992, and size ,8192,
packet_index ,27, sent_timestamp ,1689162247.618986, received_timestamp,1689162247.6799958,received-send delay ,0.061009883880615234, and size ,8192,
packet_index ,28, sent_timestamp ,1689162247.6538155, received_timestamp,1689162247.7967486,received-send delay ,0.14293313026428223, and size ,8192,
packet_index ,29, sent_timestamp ,1689162247.6907754, received_timestamp,1689162247.846797,received-send delay ,0.1560215950012207, and size ,8192,
packet_index ,30, sent_timestamp ,1689162247.7255507, received_timestamp,1689162247.873165,received-send delay ,0.1476142406463623, and size ,8192,
packet_index ,31, sent_timestamp ,1689162247.7605145, received_timestamp,1689162247.87357,received-send delay ,0.11305546760559082, and size ,8192,
packet_index ,32, sent_timestamp ,1689162247.794832, received_timestamp,1689162247.8845046,received-send delay ,0.08967256546020508, and size ,8192,
packet_index ,33, sent_timestamp ,1689162247.8310866, received_timestamp,1689162247.908758,received-send delay ,0.07767128944396973, and size ,8192,
packet_index ,34, sent_timestamp ,1689162247.8660505, received_timestamp,1689162247.9236202,received-send delay ,0.05756974220275879, and size ,8192,
packet_index ,35, sent_timestamp ,1689162247.9035223, received_timestamp,1689162247.973399,received-send delay ,0.06987667083740234, and size ,8192,
packet_index ,36, sent_timestamp ,1689162247.9399083, received_timestamp,1689162248.0126722,received-send delay ,0.07276391983032227, and size ,8192,
packet_index ,37, sent_timestamp ,1689162247.9768343, received_timestamp,1689162248.0324183,received-send delay ,0.055583953857421875, and size ,8192,
packet_index ,38, sent_timestamp ,1689162248.0148213, received_timestamp,1689162248.0906143,received-send delay ,0.07579302787780762, and size ,8192,
packet_index ,39, sent_timestamp ,1689162248.049116, received_timestamp,1689162248.2142644,received-send delay ,0.16514849662780762, and size ,8192,
packet_index ,40, sent_timestamp ,1689162248.0830996, received_timestamp,1689162248.2699764,received-send delay ,0.18687677383422852, and size ,8192,
packet_index ,41, sent_timestamp ,1689162248.1169655, received_timestamp,1689162248.2910252,received-send delay ,0.17405962944030762, and size ,8192,
packet_index ,42, sent_timestamp ,1689162248.1510456, received_timestamp,1689162248.308532,received-send delay ,0.1574864387512207, and size ,8192,
