start--------------------------------------------
sender's timestamp ,1687747753.8912656,received timestamp ,1687747759.0265174, E2E delay ,5.135251760482788, and size ,81920,
sender's timestamp ,1687747755.6968296,received timestamp ,1687747759.0858865, E2E delay ,3.389056921005249, and size ,81920,
sender's timestamp ,1687747755.7309566,received timestamp ,1687747759.8650753, E2E delay ,4.1341187953948975, and size ,81920,
sender's timestamp ,1687747755.76463,received timestamp ,1687747759.8973267, E2E delay ,4.132696628570557, and size ,81920,
sender's timestamp ,1687747755.8562102,received timestamp ,1687747761.4288223, E2E delay ,5.572612047195435, and size ,81920,
sender's timestamp ,1687747755.890013,received timestamp ,1687747761.4304547, E2E delay ,5.5404417514801025, and size ,81920,
sender's timestamp ,1687747755.9239452,received timestamp ,1687747761.4307911, E2E delay ,5.506845951080322, and size ,81920,
sender's timestamp ,1687747755.9579775,received timestamp ,1687747761.5041614, E2E delay ,5.546183824539185, and size ,81920,
sender's timestamp ,1687747755.991992,received timestamp ,1687747761.6340466, E2E delay ,5.642054557800293, and size ,81920,
sender's timestamp ,1687747756.0258913,received timestamp ,1687747761.8615541, E2E delay ,5.835662841796875, and size ,81920,
sender's timestamp ,1687747756.0598004,received timestamp ,1687747762.105061, E2E delay ,6.045260667800903, and size ,81920,
sender's timestamp ,1687747756.093824,received timestamp ,1687747762.105314, E2E delay ,6.011490106582642, and size ,81920,
sender's timestamp ,1687747756.1277778,received timestamp ,1687747762.4064696, E2E delay ,6.27869176864624, and size ,81920,
sender's timestamp ,1687747756.16181,received timestamp ,1687747762.7823672, E2E delay ,6.6205573081970215, and size ,81920,
sender's timestamp ,1687747756.1957667,received timestamp ,1687747762.887971, E2E delay ,6.692204236984253, and size ,81920,
sender's timestamp ,1687747756.2298102,received timestamp ,1687747763.0225337, E2E delay ,6.7927234172821045, and size ,81920,
sender's timestamp ,1687747756.263709,received timestamp ,1687747763.3201077, E2E delay ,7.056398630142212, and size ,81920,
sender's timestamp ,1687747756.2973518,received timestamp ,1687747763.5867682, E2E delay ,7.289416313171387, and size ,81920,
sender's timestamp ,1687747756.331077,received timestamp ,1687747763.7287457, E2E delay ,7.3976686000823975, and size ,81920,
sender's timestamp ,1687747756.3647187,received timestamp ,1687747763.9016871, E2E delay ,7.536968469619751, and size ,81920,
sender's timestamp ,1687747756.3986099,received timestamp ,1687747764.0393987, E2E delay ,7.640788793563843, and size ,81920,
sender's timestamp ,1687747756.4325044,received timestamp ,1687747764.0406263, E2E delay ,7.608121871948242, and size ,81920,
sender's timestamp ,1687747756.4663708,received timestamp ,1687747764.199209, E2E delay ,7.732838153839111, and size ,81920,
sender's timestamp ,1687747756.5002315,received timestamp ,1687747764.2004135, E2E delay ,7.70018196105957, and size ,81920,
