start--------------------------------------------
packet_index ,55, sent_timestamp ,Tue Oct 10 20:25:49 2023,received-send delay ,319.555000,[msec] and size ,40960,
packet_index ,56, sent_timestamp ,Tue Oct 10 20:25:49 2023,received-send delay ,286.209000,[msec] and size ,40960,
packet_index ,57, sent_timestamp ,Tue Oct 10 20:25:49 2023,received-send delay ,252.768000,[msec] and size ,40960,
packet_index ,58, sent_timestamp ,Tue Oct 10 20:25:49 2023,received-send delay ,219.379000,[msec] and size ,40960,
packet_index ,59, sent_timestamp ,Tue Oct 10 20:25:49 2023,received-send delay ,216.947000,[msec] and size ,40960,
packet_index ,60, sent_timestamp ,Tue Oct 10 20:25:49 2023,received-send delay ,183.557000,[msec] and size ,40960,
packet_index ,61, sent_timestamp ,Tue Oct 10 20:25:49 2023,received-send delay ,150.147000,[msec] and size ,40960,
packet_index ,62, sent_timestamp ,Tue Oct 10 20:25:49 2023,received-send delay ,163.389000,[msec] and size ,40960,
packet_index ,63, sent_timestamp ,Tue Oct 10 20:25:49 2023,received-send delay ,193.042000,[msec] and size ,40960,
packet_index ,64, sent_timestamp ,Tue Oct 10 20:25:49 2023,received-send delay ,159.618000,[msec] and size ,40960,
packet_index ,65, sent_timestamp ,Tue Oct 10 20:25:49 2023,received-send delay ,209.458000,[msec] and size ,40960,
packet_index ,66, sent_timestamp ,Tue Oct 10 20:25:49 2023,received-send delay ,176.209000,[msec] and size ,40960,
packet_index ,67, sent_timestamp ,Tue Oct 10 20:25:49 2023,received-send delay ,142.904000,[msec] and size ,40960,
packet_index ,68, sent_timestamp ,Tue Oct 10 20:25:49 2023,received-send delay ,195.194000,[msec] and size ,40960,
packet_index ,69, sent_timestamp ,Tue Oct 10 20:25:49 2023,received-send delay ,161.816000,[msec] and size ,40960,
packet_index ,70, sent_timestamp ,Tue Oct 10 20:25:49 2023,received-send delay ,228.367000,[msec] and size ,40960,
packet_index ,71, sent_timestamp ,Tue Oct 10 20:25:50 2023,received-send delay ,195.030000,[msec] and size ,40960,
packet_index ,72, sent_timestamp ,Tue Oct 10 20:25:50 2023,received-send delay ,161.709000,[msec] and size ,40960,
packet_index ,73, sent_timestamp ,Tue Oct 10 20:25:50 2023,received-send delay ,264.745000,[msec] and size ,40960,
packet_index ,74, sent_timestamp ,Tue Oct 10 20:25:50 2023,received-send delay ,231.440000,[msec] and size ,40960,
packet_index ,75, sent_timestamp ,Tue Oct 10 20:25:50 2023,received-send delay ,198.079000,[msec] and size ,40960,
packet_index ,76, sent_timestamp ,Tue Oct 10 20:25:50 2023,received-send delay ,357.554000,[msec] and size ,40960,
packet_index ,77, sent_timestamp ,Tue Oct 10 20:25:50 2023,received-send delay ,324.111000,[msec] and size ,40960,
packet_index ,78, sent_timestamp ,Tue Oct 10 20:25:50 2023,received-send delay ,290.630000,[msec] and size ,40960,
packet_index ,79, sent_timestamp ,Tue Oct 10 20:25:50 2023,received-send delay ,257.146000,[msec] and size ,40960,
packet_index ,80, sent_timestamp ,Tue Oct 10 20:25:50 2023,received-send delay ,368.356000,[msec] and size ,40960,
packet_index ,81, sent_timestamp ,Tue Oct 10 20:25:50 2023,received-send delay ,335.100000,[msec] and size ,40960,
packet_index ,82, sent_timestamp ,Tue Oct 10 20:25:50 2023,received-send delay ,301.692000,[msec] and size ,40960,
packet_index ,83, sent_timestamp ,Tue Oct 10 20:25:50 2023,received-send delay ,268.317000,[msec] and size ,40960,
packet_index ,84, sent_timestamp ,Tue Oct 10 20:25:50 2023,received-send delay ,235.030000,[msec] and size ,40960,
packet_index ,85, sent_timestamp ,Tue Oct 10 20:25:50 2023,received-send delay ,201.777000,[msec] and size ,40960,
packet_index ,86, sent_timestamp ,Tue Oct 10 20:25:50 2023,received-send delay ,275.812000,[msec] and size ,40960,
packet_index ,87, sent_timestamp ,Tue Oct 10 20:25:50 2023,received-send delay ,242.548000,[msec] and size ,40960,
packet_index ,88, sent_timestamp ,Tue Oct 10 20:25:50 2023,received-send delay ,209.181000,[msec] and size ,40960,
packet_index ,89, sent_timestamp ,Tue Oct 10 20:25:50 2023,received-send delay ,175.819000,[msec] and size ,40960,
packet_index ,90, sent_timestamp ,Tue Oct 10 20:25:50 2023,received-send delay ,283.460000,[msec] and size ,40960,
packet_index ,91, sent_timestamp ,Tue Oct 10 20:25:50 2023,received-send delay ,250.122000,[msec] and size ,40960,
packet_index ,92, sent_timestamp ,Tue Oct 10 20:25:50 2023,received-send delay ,216.761000,[msec] and size ,40960,
packet_index ,93, sent_timestamp ,Tue Oct 10 20:25:50 2023,received-send delay ,316.214000,[msec] and size ,40960,
packet_index ,94, sent_timestamp ,Tue Oct 10 20:25:50 2023,received-send delay ,282.803000,[msec] and size ,40960,
packet_index ,95, sent_timestamp ,Tue Oct 10 20:25:50 2023,received-send delay ,249.288000,[msec] and size ,40960,
packet_index ,96, sent_timestamp ,Tue Oct 10 20:25:50 2023,received-send delay ,215.877000,[msec] and size ,40960,
packet_index ,97, sent_timestamp ,Tue Oct 10 20:25:50 2023,received-send delay ,256.369000,[msec] and size ,40960,
packet_index ,98, sent_timestamp ,Tue Oct 10 20:25:50 2023,received-send delay ,223.230000,[msec] and size ,40960,
packet_index ,99, sent_timestamp ,Tue Oct 10 20:25:50 2023,received-send delay ,311.475000,[msec] and size ,40960,
packet_index ,100, sent_timestamp ,Tue Oct 10 20:25:51 2023,received-send delay ,278.202000,[msec] and size ,40960,
packet_index ,101, sent_timestamp ,Tue Oct 10 20:25:51 2023,received-send delay ,244.669000,[msec] and size ,40960,
packet_index ,102, sent_timestamp ,Tue Oct 10 20:25:51 2023,received-send delay ,211.221000,[msec] and size ,40960,
packet_index ,103, sent_timestamp ,Tue Oct 10 20:25:51 2023,received-send delay ,258.068000,[msec] and size ,40960,
packet_index ,104, sent_timestamp ,Tue Oct 10 20:25:51 2023,received-send delay ,224.821000,[msec] and size ,40960,
packet_index ,105, sent_timestamp ,Tue Oct 10 20:25:51 2023,received-send delay ,191.479000,[msec] and size ,40960,
packet_index ,106, sent_timestamp ,Tue Oct 10 20:25:51 2023,received-send delay ,227.495000,[msec] and size ,40960,
packet_index ,107, sent_timestamp ,Tue Oct 10 20:25:51 2023,received-send delay ,194.256000,[msec] and size ,40960,
packet_index ,108, sent_timestamp ,Tue Oct 10 20:25:51 2023,received-send delay ,160.953000,[msec] and size ,40960,
packet_index ,109, sent_timestamp ,Tue Oct 10 20:25:51 2023,received-send delay ,203.131000,[msec] and size ,40960,
packet_index ,110, sent_timestamp ,Tue Oct 10 20:25:51 2023,received-send delay ,169.925000,[msec] and size ,40960,
packet_index ,111, sent_timestamp ,Tue Oct 10 20:25:51 2023,received-send delay ,137.302000,[msec] and size ,40960,
packet_index ,112, sent_timestamp ,Tue Oct 10 20:25:51 2023,received-send delay ,179.902000,[msec] and size ,40960,
packet_index ,113, sent_timestamp ,Tue Oct 10 20:25:51 2023,received-send delay ,146.474000,[msec] and size ,40960,
packet_index ,114, sent_timestamp ,Tue Oct 10 20:25:51 2023,received-send delay ,197.762000,[msec] and size ,40960,
packet_index ,115, sent_timestamp ,Tue Oct 10 20:25:51 2023,received-send delay ,164.473000,[msec] and size ,40960,
packet_index ,116, sent_timestamp ,Tue Oct 10 20:25:51 2023,received-send delay ,247.623000,[msec] and size ,40960,
packet_index ,117, sent_timestamp ,Tue Oct 10 20:25:51 2023,received-send delay ,214.338000,[msec] and size ,40960,
packet_index ,118, sent_timestamp ,Tue Oct 10 20:25:51 2023,received-send delay ,181.395000,[msec] and size ,40960,
packet_index ,119, sent_timestamp ,Tue Oct 10 20:25:51 2023,received-send delay ,304.514000,[msec] and size ,40960,
packet_index ,120, sent_timestamp ,Tue Oct 10 20:25:51 2023,received-send delay ,271.267000,[msec] and size ,40960,
packet_index ,121, sent_timestamp ,Tue Oct 10 20:25:51 2023,received-send delay ,309.191000,[msec] and size ,40960,
packet_index ,122, sent_timestamp ,Tue Oct 10 20:25:51 2023,received-send delay ,275.746000,[msec] and size ,40960,
packet_index ,123, sent_timestamp ,Tue Oct 10 20:25:51 2023,received-send delay ,242.291000,[msec] and size ,40960,
packet_index ,124, sent_timestamp ,Tue Oct 10 20:25:51 2023,received-send delay ,208.848000,[msec] and size ,40960,
packet_index ,125, sent_timestamp ,Tue Oct 10 20:25:51 2023,received-send delay ,175.323000,[msec] and size ,40960,
