start--------------------------------------------
Received frame with timestamp ,1687241676.5, E2E delay ,1.59813976288, and size ,327680,
Received frame with timestamp ,1687241676.59, E2E delay ,1.57237005234, and size ,327680,
Received frame with timestamp ,1687241676.69, E2E delay ,1.56805920601, and size ,327680,
Received frame with timestamp ,1687241676.76, E2E delay ,1.55757975578, and size ,327680,
Received frame with timestamp ,1687241676.83, E2E delay ,1.55374479294, and size ,327680,
Received frame with timestamp ,1687241676.95, E2E delay ,1.5172958374, and size ,327680,
Received frame with timestamp ,1687241677.05, E2E delay ,1.4799425602, and size ,327680,
Received frame with timestamp ,1687241677.15, E2E delay ,1.51697492599, and size ,327680,
Received frame with timestamp ,1687241677.29, E2E delay ,1.43829870224, and size ,327680,
Received frame with timestamp ,1687241677.38, E2E delay ,1.40833306313, and size ,327680,
Received frame with timestamp ,1687241677.45, E2E delay ,1.40341877937, and size ,327680,
Received frame with timestamp ,1687241677.55, E2E delay ,1.38294458389, and size ,327680,
Received frame with timestamp ,1687241677.68, E2E delay ,1.40552186966, and size ,327680,
Received frame with timestamp ,1687241677.74, E2E delay ,1.45000624657, and size ,327680,
Received frame with timestamp ,1687241677.78, E2E delay ,1.57577133179, and size ,327680,
Received frame with timestamp ,1687241677.85, E2E delay ,1.66487336159, and size ,327680,
Received frame with timestamp ,1687241677.91, E2E delay ,1.74587082863, and size ,327680,
Received frame with timestamp ,1687241678.05, E2E delay ,1.74224495888, and size ,327680,
Received frame with timestamp ,1687241678.1, E2E delay ,1.8055138588, and size ,327680,
Received frame with timestamp ,1687241678.17, E2E delay ,1.81617879868, and size ,327680,
Received frame with timestamp ,1687241678.22, E2E delay ,1.90915250778, and size ,327680,
Received frame with timestamp ,1687241678.29, E2E delay ,1.91174459457, and size ,327680,
Received frame with timestamp ,1687241678.35, E2E delay ,1.93504333496, and size ,327680,
Received frame with timestamp ,1687241678.41, E2E delay ,1.97528123856, and size ,327680,
Received frame with timestamp ,1687241678.49, E2E delay ,1.98057103157, and size ,327680,
Received frame with timestamp ,1687241678.56, E2E delay ,2.00677919388, and size ,327680,
Received frame with timestamp ,1687241678.7, E2E delay ,1.95743465424, and size ,327680,
Received frame with timestamp ,1687241678.78, E2E delay ,2.01309704781, and size ,327680,
Received frame with timestamp ,1687241678.85, E2E delay ,2.01015424728, and size ,327680,
