start--------------------------------------------
packet_index ,55, sent_timestamp ,Tue Oct 10 21:12:17 2023,received-send delay ,153.513000,[msec] and size ,40960,
packet_index ,56, sent_timestamp ,Tue Oct 10 21:12:17 2023,received-send delay ,120.334000,[msec] and size ,40960,
packet_index ,57, sent_timestamp ,Tue Oct 10 21:12:17 2023,received-send delay ,127.234000,[msec] and size ,40960,
packet_index ,58, sent_timestamp ,Tue Oct 10 21:12:17 2023,received-send delay ,165.200000,[msec] and size ,40960,
packet_index ,59, sent_timestamp ,Tue Oct 10 21:12:17 2023,received-send delay ,131.890000,[msec] and size ,40960,
packet_index ,60, sent_timestamp ,Tue Oct 10 21:12:17 2023,received-send delay ,179.052000,[msec] and size ,40960,
packet_index ,61, sent_timestamp ,Tue Oct 10 21:12:17 2023,received-send delay ,145.717000,[msec] and size ,40960,
packet_index ,62, sent_timestamp ,Tue Oct 10 21:12:17 2023,received-send delay ,168.644000,[msec] and size ,40960,
packet_index ,63, sent_timestamp ,Tue Oct 10 21:12:17 2023,received-send delay ,135.319000,[msec] and size ,40960,
packet_index ,64, sent_timestamp ,Tue Oct 10 21:12:17 2023,received-send delay ,176.068000,[msec] and size ,40960,
packet_index ,65, sent_timestamp ,Tue Oct 10 21:12:17 2023,received-send delay ,142.843000,[msec] and size ,40960,
packet_index ,66, sent_timestamp ,Tue Oct 10 21:12:17 2023,received-send delay ,109.522000,[msec] and size ,40960,
packet_index ,67, sent_timestamp ,Tue Oct 10 21:12:17 2023,received-send delay ,117.649000,[msec] and size ,40960,
packet_index ,68, sent_timestamp ,Tue Oct 10 21:12:17 2023,received-send delay ,112.966000,[msec] and size ,40960,
packet_index ,69, sent_timestamp ,Tue Oct 10 21:12:17 2023,received-send delay ,134.743000,[msec] and size ,40960,
packet_index ,70, sent_timestamp ,Tue Oct 10 21:12:17 2023,received-send delay ,166.560000,[msec] and size ,40960,
packet_index ,71, sent_timestamp ,Tue Oct 10 21:12:17 2023,received-send delay ,133.380000,[msec] and size ,40960,
packet_index ,72, sent_timestamp ,Tue Oct 10 21:12:17 2023,received-send delay ,162.586000,[msec] and size ,40960,
packet_index ,73, sent_timestamp ,Tue Oct 10 21:12:17 2023,received-send delay ,129.318000,[msec] and size ,40960,
packet_index ,74, sent_timestamp ,Tue Oct 10 21:12:17 2023,received-send delay ,154.777000,[msec] and size ,40960,
packet_index ,75, sent_timestamp ,Tue Oct 10 21:12:17 2023,received-send delay ,121.831000,[msec] and size ,40960,
packet_index ,76, sent_timestamp ,Tue Oct 10 21:12:17 2023,received-send delay ,121.867000,[msec] and size ,40960,
packet_index ,77, sent_timestamp ,Tue Oct 10 21:12:17 2023,received-send delay ,165.525000,[msec] and size ,40960,
packet_index ,78, sent_timestamp ,Tue Oct 10 21:12:17 2023,received-send delay ,132.140000,[msec] and size ,40960,
packet_index ,79, sent_timestamp ,Tue Oct 10 21:12:17 2023,received-send delay ,148.895000,[msec] and size ,40960,
packet_index ,80, sent_timestamp ,Tue Oct 10 21:12:17 2023,received-send delay ,115.462000,[msec] and size ,40960,
packet_index ,81, sent_timestamp ,Tue Oct 10 21:12:17 2023,received-send delay ,138.964000,[msec] and size ,40960,
packet_index ,82, sent_timestamp ,Tue Oct 10 21:12:17 2023,received-send delay ,154.589000,[msec] and size ,40960,
packet_index ,83, sent_timestamp ,Tue Oct 10 21:12:18 2023,received-send delay ,121.608000,[msec] and size ,40960,
packet_index ,84, sent_timestamp ,Tue Oct 10 21:12:18 2023,received-send delay ,88.365000,[msec] and size ,40960,
packet_index ,85, sent_timestamp ,Tue Oct 10 21:12:18 2023,received-send delay ,103.743000,[msec] and size ,40960,
packet_index ,86, sent_timestamp ,Tue Oct 10 21:12:18 2023,received-send delay ,137.042000,[msec] and size ,40960,
packet_index ,87, sent_timestamp ,Tue Oct 10 21:12:18 2023,received-send delay ,103.738000,[msec] and size ,40960,
packet_index ,88, sent_timestamp ,Tue Oct 10 21:12:18 2023,received-send delay ,116.355000,[msec] and size ,40960,
packet_index ,89, sent_timestamp ,Tue Oct 10 21:12:18 2023,received-send delay ,118.100000,[msec] and size ,40960,
packet_index ,90, sent_timestamp ,Tue Oct 10 21:12:18 2023,received-send delay ,84.853000,[msec] and size ,40960,
packet_index ,91, sent_timestamp ,Tue Oct 10 21:12:18 2023,received-send delay ,91.958000,[msec] and size ,40960,
packet_index ,92, sent_timestamp ,Tue Oct 10 21:12:18 2023,received-send delay ,129.695000,[msec] and size ,40960,
packet_index ,93, sent_timestamp ,Tue Oct 10 21:12:18 2023,received-send delay ,96.380000,[msec] and size ,40960,
packet_index ,94, sent_timestamp ,Tue Oct 10 21:12:18 2023,received-send delay ,142.220000,[msec] and size ,40960,
packet_index ,95, sent_timestamp ,Tue Oct 10 21:12:18 2023,received-send delay ,179.870000,[msec] and size ,40960,
packet_index ,96, sent_timestamp ,Tue Oct 10 21:12:18 2023,received-send delay ,146.571000,[msec] and size ,40960,
packet_index ,97, sent_timestamp ,Tue Oct 10 21:12:18 2023,received-send delay ,189.601000,[msec] and size ,40960,
packet_index ,98, sent_timestamp ,Tue Oct 10 21:12:18 2023,received-send delay ,156.420000,[msec] and size ,40960,
packet_index ,99, sent_timestamp ,Tue Oct 10 21:12:18 2023,received-send delay ,123.119000,[msec] and size ,40960,
packet_index ,100, sent_timestamp ,Tue Oct 10 21:12:18 2023,received-send delay ,144.707000,[msec] and size ,40960,
packet_index ,101, sent_timestamp ,Tue Oct 10 21:12:18 2023,received-send delay ,111.427000,[msec] and size ,40960,
packet_index ,102, sent_timestamp ,Tue Oct 10 21:12:18 2023,received-send delay ,108.178000,[msec] and size ,40960,
packet_index ,103, sent_timestamp ,Tue Oct 10 21:12:18 2023,received-send delay ,145.106000,[msec] and size ,40960,
packet_index ,104, sent_timestamp ,Tue Oct 10 21:12:18 2023,received-send delay ,166.006000,[msec] and size ,40960,
packet_index ,105, sent_timestamp ,Tue Oct 10 21:12:18 2023,received-send delay ,132.713000,[msec] and size ,40960,
packet_index ,106, sent_timestamp ,Tue Oct 10 21:12:18 2023,received-send delay ,141.506000,[msec] and size ,40960,
packet_index ,107, sent_timestamp ,Tue Oct 10 21:12:18 2023,received-send delay ,108.264000,[msec] and size ,40960,
packet_index ,108, sent_timestamp ,Tue Oct 10 21:12:18 2023,received-send delay ,132.918000,[msec] and size ,40960,
packet_index ,109, sent_timestamp ,Tue Oct 10 21:12:18 2023,received-send delay ,143.696000,[msec] and size ,40960,
packet_index ,110, sent_timestamp ,Tue Oct 10 21:12:18 2023,received-send delay ,110.437000,[msec] and size ,40960,
packet_index ,111, sent_timestamp ,Tue Oct 10 21:12:18 2023,received-send delay ,132.907000,[msec] and size ,40960,
packet_index ,112, sent_timestamp ,Tue Oct 10 21:12:18 2023,received-send delay ,158.332000,[msec] and size ,40960,
packet_index ,113, sent_timestamp ,Tue Oct 10 21:12:19 2023,received-send delay ,124.914000,[msec] and size ,40960,
packet_index ,114, sent_timestamp ,Tue Oct 10 21:12:19 2023,received-send delay ,165.859000,[msec] and size ,40960,
