start--------------------------------------------
Received frame with send_timestamp ,1687243018.6435876, E2E delay ,2.637026786804199, and size ,327680,
Received frame with send_timestamp ,1687243018.7323334, E2E delay ,2.655108690261841, and size ,327680,
Received frame with send_timestamp ,1687243018.9120233, E2E delay ,2.5896921157836914, and size ,327680,
Received frame with send_timestamp ,1687243019.1747665, E2E delay ,2.4353132247924805, and size ,327680,
Received frame with send_timestamp ,1687243019.2239966, E2E delay ,2.500309705734253, and size ,327680,
Received frame with send_timestamp ,1687243019.2880502, E2E delay ,2.541238784790039, and size ,327680,
Received frame with send_timestamp ,1687243019.360914, E2E delay ,2.577702760696411, and size ,327680,
Received frame with send_timestamp ,1687243019.440948, E2E delay ,2.62823224067688, and size ,327680,
Received frame with send_timestamp ,1687243019.5211384, E2E delay ,2.786391496658325, and size ,327680,
Received frame with send_timestamp ,1687243019.6406007, E2E delay ,2.79675030708313, and size ,327680,
Received frame with send_timestamp ,1687243019.7226217, E2E delay ,2.825237512588501, and size ,327680,
Received frame with send_timestamp ,1687243019.8842564, E2E delay ,2.7652111053466797, and size ,327680,
Received frame with send_timestamp ,1687243020.2321413, E2E delay ,2.5049853324890137, and size ,327680,
Received frame with send_timestamp ,1687243020.3216188, E2E delay ,2.5237157344818115, and size ,327680,
Received frame with send_timestamp ,1687243020.379644, E2E delay ,2.5798189640045166, and size ,327680,
Received frame with send_timestamp ,1687243020.4258645, E2E delay ,2.638474464416504, and size ,327680,
Received frame with send_timestamp ,1687243020.6658072, E2E delay ,2.4915482997894287, and size ,327680,
Received frame with send_timestamp ,1687243020.7527056, E2E delay ,2.5029006004333496, and size ,327680,
Received frame with send_timestamp ,1687243020.9311407, E2E delay ,2.388230085372925, and size ,327680,
Received frame with send_timestamp ,1687243020.983406, E2E delay ,2.4276161193847656, and size ,327680,
Received frame with send_timestamp ,1687243021.047029, E2E delay ,2.4738965034484863, and size ,327680,
Received frame with send_timestamp ,1687243021.1484153, E2E delay ,2.4685301780700684, and size ,327680,
Received frame with send_timestamp ,1687243021.3144217, E2E delay ,2.459307909011841, and size ,327680,
Received frame with send_timestamp ,1687243021.4038525, E2E delay ,2.4947657585144043, and size ,327680,
Received frame with send_timestamp ,1687243021.578884, E2E delay ,2.4806668758392334, and size ,327680,
Received frame with send_timestamp ,1687243021.6464875, E2E delay ,2.5441176891326904, and size ,327680,
Received frame with send_timestamp ,1687243021.7287626, E2E delay ,2.5644519329071045, and size ,327680,
Received frame with send_timestamp ,1687243022.0266254, E2E delay ,2.368147373199463, and size ,327680,
Received frame with send_timestamp ,1687243022.1259377, E2E delay ,2.3507497310638428, and size ,327680,
Received frame with send_timestamp ,1687243022.2037568, E2E delay ,2.377983808517456, and size ,327680,
Received frame with send_timestamp ,1687243022.26189, E2E delay ,2.4128193855285645, and size ,327680,
Received frame with send_timestamp ,1687243022.429551, E2E delay ,2.340754747390747, and size ,327680,
Received frame with send_timestamp ,1687243022.5934193, E2E delay ,2.311039686203003, and size ,327680,
Received frame with send_timestamp ,1687243022.6784806, E2E delay ,2.345261335372925, and size ,327680,
Received frame with send_timestamp ,1687243022.7704916, E2E delay ,2.3696610927581787, and size ,327680,
Received frame with send_timestamp ,1687243022.850088, E2E delay ,2.4154858589172363, and size ,327680,
Received frame with send_timestamp ,1687243022.9200873, E2E delay ,2.462559938430786, and size ,327680,
Received frame with send_timestamp ,1687243023.022813, E2E delay ,2.4632785320281982, and size ,327680,
Received frame with send_timestamp ,1687243023.1593828, E2E delay ,2.422451972961426, and size ,327680,
Received frame with send_timestamp ,1687243023.377182, E2E delay ,2.2750043869018555, and size ,327680,
Received frame with send_timestamp ,1687243023.4114056, E2E delay ,2.3434958457946777, and size ,327680,
Received frame with send_timestamp ,1687243023.6121519, E2E delay ,2.250969886779785, and size ,327680,
Received frame with send_timestamp ,1687243023.9760766, E2E delay ,1.9539134502410889, and size ,327680,
Received frame with send_timestamp ,1687243024.0320752, E2E delay ,1.9899466037750244, and size ,327680,
Received frame with send_timestamp ,1687243024.0784364, E2E delay ,2.030557632446289, and size ,327680,
Received frame with send_timestamp ,1687243024.1126297, E2E delay ,2.1187708377838135, and size ,327680,
Received frame with send_timestamp ,1687243024.1469119, E2E delay ,2.189314842224121, and size ,327680,
Received frame with send_timestamp ,1687243024.1838856, E2E delay ,2.235504627227783, and size ,327680,
Received frame with send_timestamp ,1687243024.2489462, E2E delay ,2.272233486175537, and size ,327680,
Received frame with send_timestamp ,1687243024.4283934, E2E delay ,2.167318105697632, and size ,327680,
Received frame with send_timestamp ,1687243024.5323517, E2E delay ,2.1790122985839844, and size ,327680,
Received frame with send_timestamp ,1687243024.5801063, E2E delay ,2.233177900314331, and size ,327680,
Received frame with send_timestamp ,1687243024.6623, E2E delay ,2.2283825874328613, and size ,327680,
Received frame with send_timestamp ,1687243024.7532268, E2E delay ,2.2267000675201416, and size ,327680,
Received frame with send_timestamp ,1687243024.846458, E2E delay ,2.261871814727783, and size ,327680,
Received frame with send_timestamp ,1687243025.015145, E2E delay ,2.234274387359619, and size ,327680,
Received frame with send_timestamp ,1687243025.105538, E2E delay ,2.4204654693603516, and size ,327680,
Received frame with send_timestamp ,1687243025.248124, E2E delay ,2.3864026069641113, and size ,327680,
Received frame with send_timestamp ,1687243025.3235836, E2E delay ,2.4812958240509033, and size ,327680,
Received frame with send_timestamp ,1687243025.4992597, E2E delay ,2.4605319499969482, and size ,327680,
Received frame with send_timestamp ,1687243025.5550675, E2E delay ,2.873795509338379, and size ,327680,
Received frame with send_timestamp ,1687243025.7242398, E2E delay ,2.9310479164123535, and size ,327680,
Received frame with send_timestamp ,1687243025.7629597, E2E delay ,3.059858560562134, and size ,327680,
Received frame with send_timestamp ,1687243025.8495884, E2E delay ,3.1647207736968994, and size ,327680,
Received frame with send_timestamp ,1687243025.9303043, E2E delay ,3.2809689044952393, and size ,327680,
Received frame with send_timestamp ,1687243026.1236951, E2E delay ,3.2025115489959717, and size ,327680,
Received frame with send_timestamp ,1687243026.192356, E2E delay ,3.252284288406372, and size ,327680,
Received frame with send_timestamp ,1687243026.265228, E2E delay ,3.3006794452667236, and size ,327680,
Received frame with send_timestamp ,1687243026.3107224, E2E delay ,3.3578298091888428, and size ,327680,
Received frame with send_timestamp ,1687243026.4739375, E2E delay ,3.324894905090332, and size ,327680,
Received frame with send_timestamp ,1687243026.5154097, E2E delay ,3.366588830947876, and size ,327680,
Received frame with send_timestamp ,1687243026.6813023, E2E delay ,3.294581413269043, and size ,327680,
Received frame with send_timestamp ,1687243026.7577457, E2E delay ,3.3350131511688232, and size ,327680,
Received frame with send_timestamp ,1687243026.809632, E2E delay ,3.406862258911133, and size ,327680,
Received frame with send_timestamp ,1687243026.8962462, E2E delay ,3.4148781299591064, and size ,327680,
Received frame with send_timestamp ,1687243026.9557395, E2E delay ,3.4776110649108887, and size ,327680,
Received frame with send_timestamp ,1687243027.1064405, E2E delay ,3.481379985809326, and size ,327680,
Received frame with send_timestamp ,1687243027.269171, E2E delay ,3.4180867671966553, and size ,327680,
Received frame with send_timestamp ,1687243027.361495, E2E delay ,3.416290760040283, and size ,327680,
Received frame with send_timestamp ,1687243027.653416, E2E delay ,3.215175151824951, and size ,327680,
Received frame with send_timestamp ,1687243027.7110267, E2E delay ,3.2346129417419434, and size ,327680,
Received frame with send_timestamp ,1687243027.9501214, E2E delay ,3.0787675380706787, and size ,327680,
Received frame with send_timestamp ,1687243028.132184, E2E delay ,2.9670000076293945, and size ,327680,
Received frame with send_timestamp ,1687243028.6257584, E2E delay ,2.55251407623291, and size ,327680,
Received frame with send_timestamp ,1687243028.7557325, E2E delay ,2.508578062057495, and size ,327680,
Received frame with send_timestamp ,1687243028.9154441, E2E delay ,2.435006856918335, and size ,327680,
Received frame with send_timestamp ,1687243029.099971, E2E delay ,2.311910629272461, and size ,327680,
Received frame with send_timestamp ,1687243029.331652, E2E delay ,2.1452064514160156, and size ,327680,
Received frame with send_timestamp ,1687243029.415264, E2E delay ,2.1512813568115234, and size ,327680,
Received frame with send_timestamp ,1687243029.5029447, E2E delay ,2.1301491260528564, and size ,327680,
Received frame with send_timestamp ,1687243029.6858885, E2E delay ,2.0259647369384766, and size ,327680,
Received frame with send_timestamp ,1687243029.7580254, E2E delay ,2.0309629440307617, and size ,327680,
Received frame with send_timestamp ,1687243029.9158182, E2E delay ,1.9366369247436523, and size ,327680,
Received frame with send_timestamp ,1687243030.0106175, E2E delay ,1.9321200847625732, and size ,327680,
Received frame with send_timestamp ,1687243030.0822742, E2E delay ,1.9295036792755127, and size ,327680,
Received frame with send_timestamp ,1687243030.238233, E2E delay ,1.8863837718963623, and size ,327680,
Received frame with send_timestamp ,1687243030.3445315, E2E delay ,1.8951914310455322, and size ,327680,
Received frame with send_timestamp ,1687243030.4306762, E2E delay ,1.8952805995941162, and size ,327680,
Received frame with send_timestamp ,1687243030.5667815, E2E delay ,1.8836145401000977, and size ,327680,
Received frame with send_timestamp ,1687243030.7027779, E2E delay ,1.8575270175933838, and size ,327680,
Received frame with send_timestamp ,1687243030.8749113, E2E delay ,1.7837872505187988, and size ,327680,
Received frame with send_timestamp ,1687243030.954767, E2E delay ,1.7939467430114746, and size ,327680,
Received frame with send_timestamp ,1687243031.0349298, E2E delay ,1.7918078899383545, and size ,327680,
Received frame with send_timestamp ,1687243031.1069264, E2E delay ,1.8073790073394775, and size ,327680,
Received frame with send_timestamp ,1687243031.1602511, E2E delay ,1.8718080520629883, and size ,327680,
Received frame with send_timestamp ,1687243031.2254815, E2E delay ,1.8983466625213623, and size ,327680,
Received frame with send_timestamp ,1687243031.2984414, E2E delay ,1.9918999671936035, and size ,327680,
Received frame with send_timestamp ,1687243031.384205, E2E delay ,2.049478530883789, and size ,327680,
Received frame with send_timestamp ,1687243031.4641435, E2E delay ,2.1138389110565186, and size ,327680,
Received frame with send_timestamp ,1687243031.509563, E2E delay ,2.19698429107666, and size ,327680,
Received frame with send_timestamp ,1687243031.6001823, E2E delay ,2.2447497844696045, and size ,327680,
Received frame with send_timestamp ,1687243031.6671739, E2E delay ,2.278590440750122, and size ,327680,
Received frame with send_timestamp ,1687243031.7324526, E2E delay ,2.2969791889190674, and size ,327680,
Received frame with send_timestamp ,1687243031.809276, E2E delay ,2.300600290298462, and size ,327680,
Received frame with send_timestamp ,1687243031.8681908, E2E delay ,2.3638224601745605, and size ,327680,
Received frame with send_timestamp ,1687243031.952734, E2E delay ,2.4127209186553955, and size ,327680,
Received frame with send_timestamp ,1687243032.0851884, E2E delay ,2.378509521484375, and size ,327680,
Received frame with send_timestamp ,1687243032.2140236, E2E delay ,2.3512349128723145, and size ,327680,
Received frame with send_timestamp ,1687243032.2726839, E2E delay ,2.3940603733062744, and size ,327680,
Received frame with send_timestamp ,1687243032.3983953, E2E delay ,2.3841633796691895, and size ,327680,
Received frame with send_timestamp ,1687243032.452133, E2E delay ,2.444136142730713, and size ,327680,
Received frame with send_timestamp ,1687243032.501301, E2E delay ,2.5869314670562744, and size ,327680,
Received frame with send_timestamp ,1687243032.5936718, E2E delay ,2.6308767795562744, and size ,327680,
Received frame with send_timestamp ,1687243032.6603527, E2E delay ,2.69490647315979, and size ,327680,
Received frame with send_timestamp ,1687243032.7554438, E2E delay ,2.7064356803894043, and size ,327680,
Received frame with send_timestamp ,1687243032.9485583, E2E delay ,2.643220901489258, and size ,327680,
Received frame with send_timestamp ,1687243033.0166538, E2E delay ,2.7242162227630615, and size ,327680,
Received frame with send_timestamp ,1687243033.0509205, E2E delay ,2.8092026710510254, and size ,327680,
Received frame with send_timestamp ,1687243033.2142692, E2E delay ,2.748218536376953, and size ,327680,
Received frame with send_timestamp ,1687243033.260133, E2E delay ,2.7911019325256348, and size ,327680,
Received frame with send_timestamp ,1687243033.4861567, E2E delay ,2.7007761001586914, and size ,327680,
Received frame with send_timestamp ,1687243033.7401767, E2E delay ,2.5312986373901367, and size ,327680,
Received frame with send_timestamp ,1687243033.7985902, E2E delay ,2.629610776901245, and size ,327680,
Received frame with send_timestamp ,1687243033.859407, E2E delay ,2.7080812454223633, and size ,327680,
Received frame with send_timestamp ,1687243033.956603, E2E delay ,2.8106212615966797, and size ,327680,
Received frame with send_timestamp ,1687243034.0458803, E2E delay ,2.819082260131836, and size ,327680,
Received frame with send_timestamp ,1687243034.2263734, E2E delay ,2.7211806774139404, and size ,327680,
Received frame with send_timestamp ,1687243034.2788482, E2E delay ,2.7766730785369873, and size ,327680,
Received frame with send_timestamp ,1687243034.3615186, E2E delay ,2.8185946941375732, and size ,327680,
Received frame with send_timestamp ,1687243034.5433934, E2E delay ,2.7493932247161865, and size ,327680,
Received frame with send_timestamp ,1687243034.6316984, E2E delay ,2.752579927444458, and size ,327680,
Received frame with send_timestamp ,1687243034.7003932, E2E delay ,2.767045021057129, and size ,327680,
Received frame with send_timestamp ,1687243034.8793828, E2E delay ,2.6711549758911133, and size ,327680,
Received frame with send_timestamp ,1687243034.9418895, E2E delay ,2.6747047901153564, and size ,327680,
Received frame with send_timestamp ,1687243035.0591831, E2E delay ,2.6418981552124023, and size ,327680,
Received frame with send_timestamp ,1687243035.1569295, E2E delay ,2.630585193634033, and size ,327680,
Received frame with send_timestamp ,1687243035.5223062, E2E delay ,2.358888626098633, and size ,327680,
Received frame with send_timestamp ,1687243035.6257627, E2E delay ,2.346431016921997, and size ,327680,
Received frame with send_timestamp ,1687243035.6610663, E2E delay ,2.4041409492492676, and size ,327680,
Received frame with send_timestamp ,1687243035.7232797, E2E delay ,2.4123425483703613, and size ,327680,
Received frame with send_timestamp ,1687243035.8437457, E2E delay ,2.382040500640869, and size ,327680,
Received frame with send_timestamp ,1687243036.0464003, E2E delay ,2.2734038829803467, and size ,327680,
Received frame with send_timestamp ,1687243036.1486895, E2E delay ,2.2551586627960205, and size ,327680,
Received frame with send_timestamp ,1687243036.1963897, E2E delay ,2.2978434562683105, and size ,327680,
Received frame with send_timestamp ,1687243036.2716892, E2E delay ,2.3020195960998535, and size ,327680,
Received frame with send_timestamp ,1687243036.409103, E2E delay ,2.270676851272583, and size ,327680,
Received frame with send_timestamp ,1687243036.6887257, E2E delay ,2.053164005279541, and size ,327680,
Received frame with send_timestamp ,1687243036.7779472, E2E delay ,2.06943941116333, and size ,327680,
Received frame with send_timestamp ,1687243036.8742723, E2E delay ,2.024609327316284, and size ,327680,
Received frame with send_timestamp ,1687243037.0891166, E2E delay ,1.8936340808868408, and size ,327680,
Received frame with send_timestamp ,1687243037.146288, E2E delay ,1.9188933372497559, and size ,327680,
Received frame with send_timestamp ,1687243037.1990137, E2E delay ,1.9435553550720215, and size ,327680,
Received frame with send_timestamp ,1687243037.2904077, E2E delay ,1.9269003868103027, and size ,327680,
Received frame with send_timestamp ,1687243037.4567854, E2E delay ,1.849778175354004, and size ,327680,
Received frame with send_timestamp ,1687243037.6857784, E2E delay ,1.6950559616088867, and size ,327680,
Received frame with send_timestamp ,1687243037.7438118, E2E delay ,1.7003979682922363, and size ,327680,
Received frame with send_timestamp ,1687243037.7871158, E2E delay ,1.7375373840332031, and size ,327680,
Received frame with send_timestamp ,1687243037.8320072, E2E delay ,1.778019666671753, and size ,327680,
Received frame with send_timestamp ,1687243037.9139314, E2E delay ,1.8144135475158691, and size ,327680,
Received frame with send_timestamp ,1687243037.948196, E2E delay ,1.8823494911193848, and size ,327680,
Received frame with send_timestamp ,1687243038.0421746, E2E delay ,1.9220738410949707, and size ,327680,
Received frame with send_timestamp ,1687243038.0989544, E2E delay ,1.997680425643921, and size ,327680,
Received frame with send_timestamp ,1687243038.164788, E2E delay ,2.0314273834228516, and size ,327680,
Received frame with send_timestamp ,1687243038.2366245, E2E delay ,2.061889410018921, and size ,327680,
Received frame with send_timestamp ,1687243038.3383574, E2E delay ,2.0462446212768555, and size ,327680,
Received frame with send_timestamp ,1687243038.5049543, E2E delay ,1.9900598526000977, and size ,327680,
Received frame with send_timestamp ,1687243038.5669677, E2E delay ,2.0457205772399902, and size ,327680,
Received frame with send_timestamp ,1687243038.6327736, E2E delay ,2.1561107635498047, and size ,327680,
Received frame with send_timestamp ,1687243038.6863012, E2E delay ,2.2263433933258057, and size ,327680,
Received frame with send_timestamp ,1687243038.775305, E2E delay ,2.2554054260253906, and size ,327680,
Received frame with send_timestamp ,1687243038.8369997, E2E delay ,2.275200366973877, and size ,327680,
Received frame with send_timestamp ,1687243039.0167494, E2E delay ,2.1891703605651855, and size ,327680,
Received frame with send_timestamp ,1687243039.0606923, E2E delay ,2.303433418273926, and size ,327680,
Received frame with send_timestamp ,1687243039.1359913, E2E delay ,2.3791229724884033, and size ,327680,
Received frame with send_timestamp ,1687243039.1764042, E2E delay ,2.4573700428009033, and size ,327680,
Received frame with send_timestamp ,1687243039.2577295, E2E delay ,2.496387481689453, and size ,327680,
Received frame with send_timestamp ,1687243039.3447888, E2E delay ,2.518819808959961, and size ,327680,
Received frame with send_timestamp ,1687243039.4160588, E2E delay ,2.55711030960083, and size ,327680,
Received frame with send_timestamp ,1687243039.5155344, E2E delay ,2.5520763397216797, and size ,327680,
Received frame with send_timestamp ,1687243039.5686831, E2E delay ,2.613041639328003, and size ,327680,
Received frame with send_timestamp ,1687243039.6843312, E2E delay ,2.616755723953247, and size ,327680,
Received frame with send_timestamp ,1687243039.743572, E2E delay ,2.6538612842559814, and size ,327680,
Received frame with send_timestamp ,1687243039.8163073, E2E delay ,2.724607229232788, and size ,327680,
Received frame with send_timestamp ,1687243040.039435, E2E delay ,2.620224952697754, and size ,327680,
Received frame with send_timestamp ,1687243040.1114144, E2E delay ,2.662471055984497, and size ,327680,
Received frame with send_timestamp ,1687243040.2173712, E2E delay ,2.656611442565918, and size ,327680,
Received frame with send_timestamp ,1687243040.370456, E2E delay ,2.6083459854125977, and size ,327680,
Received frame with send_timestamp ,1687243040.4385111, E2E delay ,2.6284117698669434, and size ,327680,
Received frame with send_timestamp ,1687243040.5238273, E2E delay ,2.6420750617980957, and size ,327680,
Received frame with send_timestamp ,1687243040.7314186, E2E delay ,2.499758720397949, and size ,327680,
Received frame with send_timestamp ,1687243040.7767587, E2E delay ,2.5871880054473877, and size ,327680,
Received frame with send_timestamp ,1687243040.9849946, E2E delay ,2.511974334716797, and size ,327680,
Received frame with send_timestamp ,1687243041.0655935, E2E delay ,2.5004258155822754, and size ,327680,
Received frame with send_timestamp ,1687243041.2803218, E2E delay ,2.3862452507019043, and size ,327680,
Received frame with send_timestamp ,1687243041.3929124, E2E delay ,2.3958840370178223, and size ,327680,
Received frame with send_timestamp ,1687243041.4271784, E2E delay ,2.464655876159668, and size ,327680,
Received frame with send_timestamp ,1687243041.682268, E2E delay ,2.3231406211853027, and size ,327680,
Received frame with send_timestamp ,1687243041.7166805, E2E delay ,2.3933138847351074, and size ,327680,
Received frame with send_timestamp ,1687243041.7809136, E2E delay ,2.4211559295654297, and size ,327680,
Received frame with send_timestamp ,1687243041.951094, E2E delay ,2.3578412532806396, and size ,327680,
Received frame with send_timestamp ,1687243042.0068183, E2E delay ,2.4217565059661865, and size ,327680,
Received frame with send_timestamp ,1687243042.2153597, E2E delay ,2.313018321990967, and size ,327680,
Received frame with send_timestamp ,1687243042.4287217, E2E delay ,2.1902689933776855, and size ,327680,
Received frame with send_timestamp ,1687243042.4650712, E2E delay ,2.236243963241577, and size ,327680,
Received frame with send_timestamp ,1687243042.5291662, E2E delay ,2.2520577907562256, and size ,327680,
Received frame with send_timestamp ,1687243042.574117, E2E delay ,2.3010969161987305, and size ,327680,
Received frame with send_timestamp ,1687243042.750812, E2E delay ,2.231107711791992, and size ,327680,
Received frame with send_timestamp ,1687243042.831121, E2E delay ,2.249752998352051, and size ,327680,
Received frame with send_timestamp ,1687243042.9377847, E2E delay ,2.2546403408050537, and size ,327680,
Received frame with send_timestamp ,1687243042.9938529, E2E delay ,2.286015748977661, and size ,327680,
Received frame with send_timestamp ,1687243043.1998856, E2E delay ,2.171964645385742, and size ,327680,
Received frame with send_timestamp ,1687243043.2876165, E2E delay ,2.1842281818389893, and size ,327680,
Received frame with send_timestamp ,1687243043.3389533, E2E delay ,2.2203550338745117, and size ,327680,
Received frame with send_timestamp ,1687243043.381936, E2E delay ,2.2378222942352295, and size ,327680,
Received frame with send_timestamp ,1687243043.4797852, E2E delay ,2.220162868499756, and size ,327680,
Received frame with send_timestamp ,1687243043.5978148, E2E delay ,2.208449363708496, and size ,327680,
Received frame with send_timestamp ,1687243043.7608752, E2E delay ,2.123795986175537, and size ,327680,
Received frame with send_timestamp ,1687243043.8042307, E2E delay ,2.2047953605651855, and size ,327680,
Received frame with send_timestamp ,1687243043.900997, E2E delay ,2.2317841053009033, and size ,327680,
Received frame with send_timestamp ,1687243044.000819, E2E delay ,2.2500338554382324, and size ,327680,
start--------------------------------------------
start--------------------------------------------
Received frame with sent_timestamp ,1687250506.3786612, E2E delay ,0.08885335922241211, and size ,6340,
Received frame with sent_timestamp ,1687250506.3109381, E2E delay ,0.2592775821685791, and size ,6270,
Received frame with sent_timestamp ,1687250506.4130907, E2E delay ,0.3267982006072998, and size ,6590,
Received frame with sent_timestamp ,1687250506.6516023, E2E delay ,0.3960387706756592, and size ,6502,
Received frame with sent_timestamp ,1687250506.9919877, E2E delay ,0.06374430656433105, and size ,6649,
Received frame with sent_timestamp ,1687250506.685631, E2E delay ,0.4639313220977783, and size ,6496,
Received frame with sent_timestamp ,1687250506.276926, E2E delay ,0.9000446796417236, and size ,6358,
