start--------------------------------------------
packet_index ,1, sent_timestamp ,Wed Oct 18 16:58:35 2023,received-send delay ,288.530000,[msec] and size ,40960,
packet_index ,2, sent_timestamp ,Wed Oct 18 16:58:35 2023,received-send delay ,209.718000,[msec] and size ,40960,
packet_index ,3, sent_timestamp ,Wed Oct 18 16:58:35 2023,received-send delay ,134.362000,[msec] and size ,40960,
packet_index ,4, sent_timestamp ,Wed Oct 18 16:58:35 2023,received-send delay ,166.926000,[msec] and size ,40960,
packet_index ,5, sent_timestamp ,Wed Oct 18 16:58:35 2023,received-send delay ,170.966000,[msec] and size ,40960,
packet_index ,6, sent_timestamp ,Wed Oct 18 16:58:35 2023,received-send delay ,189.294000,[msec] and size ,40960,
packet_index ,7, sent_timestamp ,Wed Oct 18 16:58:35 2023,received-send delay ,142.588000,[msec] and size ,40960,
packet_index ,8, sent_timestamp ,Wed Oct 18 16:58:35 2023,received-send delay ,167.390000,[msec] and size ,40960,
packet_index ,9, sent_timestamp ,Wed Oct 18 16:58:35 2023,received-send delay ,186.190000,[msec] and size ,40960,
packet_index ,10, sent_timestamp ,Wed Oct 18 16:58:35 2023,received-send delay ,150.403000,[msec] and size ,40960,
packet_index ,11, sent_timestamp ,Wed Oct 18 16:58:36 2023,received-send delay ,181.578000,[msec] and size ,40960,
packet_index ,12, sent_timestamp ,Wed Oct 18 16:58:36 2023,received-send delay ,236.893000,[msec] and size ,40960,
packet_index ,13, sent_timestamp ,Wed Oct 18 16:58:36 2023,received-send delay ,200.759000,[msec] and size ,40960,
packet_index ,14, sent_timestamp ,Wed Oct 18 16:58:36 2023,received-send delay ,228.782000,[msec] and size ,40960,
packet_index ,15, sent_timestamp ,Wed Oct 18 16:58:36 2023,received-send delay ,252.070000,[msec] and size ,40960,
packet_index ,16, sent_timestamp ,Wed Oct 18 16:58:36 2023,received-send delay ,218.671000,[msec] and size ,40960,
packet_index ,17, sent_timestamp ,Wed Oct 18 16:58:36 2023,received-send delay ,225.819000,[msec] and size ,40960,
packet_index ,18, sent_timestamp ,Wed Oct 18 16:58:36 2023,received-send delay ,344.971000,[msec] and size ,40960,
packet_index ,19, sent_timestamp ,Wed Oct 18 16:58:36 2023,received-send delay ,395.349000,[msec] and size ,40960,
packet_index ,20, sent_timestamp ,Wed Oct 18 16:58:36 2023,received-send delay ,350.779000,[msec] and size ,40960,
packet_index ,21, sent_timestamp ,Wed Oct 18 16:58:36 2023,received-send delay ,317.465000,[msec] and size ,40960,
packet_index ,22, sent_timestamp ,Wed Oct 18 16:58:36 2023,received-send delay ,284.084000,[msec] and size ,40960,
packet_index ,23, sent_timestamp ,Wed Oct 18 16:58:36 2023,received-send delay ,250.732000,[msec] and size ,40960,
packet_index ,24, sent_timestamp ,Wed Oct 18 16:58:36 2023,received-send delay ,217.340000,[msec] and size ,40960,
packet_index ,25, sent_timestamp ,Wed Oct 18 16:58:36 2023,received-send delay ,270.197000,[msec] and size ,40960,
packet_index ,26, sent_timestamp ,Wed Oct 18 16:58:36 2023,received-send delay ,236.912000,[msec] and size ,40960,
packet_index ,27, sent_timestamp ,Wed Oct 18 16:58:36 2023,received-send delay ,284.543000,[msec] and size ,40960,
packet_index ,28, sent_timestamp ,Wed Oct 18 16:58:36 2023,received-send delay ,251.252000,[msec] and size ,40960,
packet_index ,29, sent_timestamp ,Wed Oct 18 16:58:36 2023,received-send delay ,379.087000,[msec] and size ,40960,
packet_index ,30, sent_timestamp ,Wed Oct 18 16:58:36 2023,received-send delay ,443.993000,[msec] and size ,40960,
packet_index ,31, sent_timestamp ,Wed Oct 18 16:58:36 2023,received-send delay ,410.730000,[msec] and size ,40960,
packet_index ,32, sent_timestamp ,Wed Oct 18 16:58:36 2023,received-send delay ,377.354000,[msec] and size ,40960,
packet_index ,33, sent_timestamp ,Wed Oct 18 16:58:36 2023,received-send delay ,343.504000,[msec] and size ,40960,
packet_index ,34, sent_timestamp ,Wed Oct 18 16:58:36 2023,received-send delay ,310.119000,[msec] and size ,40960,
packet_index ,35, sent_timestamp ,Wed Oct 18 16:58:36 2023,received-send delay ,276.717000,[msec] and size ,40960,
packet_index ,36, sent_timestamp ,Wed Oct 18 16:58:36 2023,received-send delay ,243.301000,[msec] and size ,40960,
packet_index ,37, sent_timestamp ,Wed Oct 18 16:58:36 2023,received-send delay ,320.446000,[msec] and size ,40960,
packet_index ,38, sent_timestamp ,Wed Oct 18 16:58:36 2023,received-send delay ,286.992000,[msec] and size ,40960,
packet_index ,39, sent_timestamp ,Wed Oct 18 16:58:37 2023,received-send delay ,382.348000,[msec] and size ,40960,
packet_index ,40, sent_timestamp ,Wed Oct 18 16:58:37 2023,received-send delay ,349.049000,[msec] and size ,40960,
packet_index ,41, sent_timestamp ,Wed Oct 18 16:58:37 2023,received-send delay ,426.336000,[msec] and size ,40960,
packet_index ,42, sent_timestamp ,Wed Oct 18 16:58:37 2023,received-send delay ,392.901000,[msec] and size ,40960,
packet_index ,43, sent_timestamp ,Wed Oct 18 16:58:37 2023,received-send delay ,359.417000,[msec] and size ,40960,
packet_index ,44, sent_timestamp ,Wed Oct 18 16:58:37 2023,received-send delay ,325.936000,[msec] and size ,40960,
packet_index ,45, sent_timestamp ,Wed Oct 18 16:58:37 2023,received-send delay ,292.542000,[msec] and size ,40960,
packet_index ,46, sent_timestamp ,Wed Oct 18 16:58:37 2023,received-send delay ,390.547000,[msec] and size ,40960,
packet_index ,47, sent_timestamp ,Wed Oct 18 16:58:37 2023,received-send delay ,357.102000,[msec] and size ,40960,
packet_index ,48, sent_timestamp ,Wed Oct 18 16:58:37 2023,received-send delay ,323.633000,[msec] and size ,40960,
packet_index ,49, sent_timestamp ,Wed Oct 18 16:58:37 2023,received-send delay ,290.156000,[msec] and size ,40960,
packet_index ,50, sent_timestamp ,Wed Oct 18 16:58:37 2023,received-send delay ,388.658000,[msec] and size ,40960,
packet_index ,51, sent_timestamp ,Wed Oct 18 16:58:37 2023,received-send delay ,355.279000,[msec] and size ,40960,
packet_index ,52, sent_timestamp ,Wed Oct 18 16:58:37 2023,received-send delay ,321.859000,[msec] and size ,40960,
packet_index ,53, sent_timestamp ,Wed Oct 18 16:58:37 2023,received-send delay ,432.489000,[msec] and size ,40960,
packet_index ,54, sent_timestamp ,Wed Oct 18 16:58:37 2023,received-send delay ,399.125000,[msec] and size ,40960,
packet_index ,55, sent_timestamp ,Wed Oct 18 16:58:37 2023,received-send delay ,365.732000,[msec] and size ,40960,
packet_index ,56, sent_timestamp ,Wed Oct 18 16:58:37 2023,received-send delay ,332.294000,[msec] and size ,40960,
packet_index ,57, sent_timestamp ,Wed Oct 18 16:58:37 2023,received-send delay ,462.205000,[msec] and size ,40960,
packet_index ,58, sent_timestamp ,Wed Oct 18 16:58:37 2023,received-send delay ,430.855000,[msec] and size ,40960,
packet_index ,59, sent_timestamp ,Wed Oct 18 16:58:37 2023,received-send delay ,397.740000,[msec] and size ,40960,
packet_index ,60, sent_timestamp ,Wed Oct 18 16:58:37 2023,received-send delay ,505.451000,[msec] and size ,40960,
packet_index ,61, sent_timestamp ,Wed Oct 18 16:58:37 2023,received-send delay ,472.178000,[msec] and size ,40960,
packet_index ,62, sent_timestamp ,Wed Oct 18 16:58:37 2023,received-send delay ,438.854000,[msec] and size ,40960,
packet_index ,63, sent_timestamp ,Wed Oct 18 16:58:37 2023,received-send delay ,405.343000,[msec] and size ,40960,
packet_index ,64, sent_timestamp ,Wed Oct 18 16:58:37 2023,received-send delay ,371.915000,[msec] and size ,40960,
packet_index ,65, sent_timestamp ,Wed Oct 18 16:58:37 2023,received-send delay ,338.463000,[msec] and size ,40960,
packet_index ,66, sent_timestamp ,Wed Oct 18 16:58:37 2023,received-send delay ,305.014000,[msec] and size ,40960,
packet_index ,67, sent_timestamp ,Wed Oct 18 16:58:37 2023,received-send delay ,271.678000,[msec] and size ,40960,
packet_index ,68, sent_timestamp ,Wed Oct 18 16:58:38 2023,received-send delay ,238.234000,[msec] and size ,40960,
