start--------------------------------------------
packet_index ,61, sent_timestamp ,23-08-03 14:49:21,received-send delay ,0.06518006324768066, and size ,40960,
packet_index ,62, sent_timestamp ,23-08-03 14:49:21,received-send delay ,0.06590414047241211, and size ,40960,
packet_index ,63, sent_timestamp ,23-08-03 14:49:21,received-send delay ,0.0620267391204834, and size ,40960,
packet_index ,64, sent_timestamp ,23-08-03 14:49:21,received-send delay ,0.07456445693969727, and size ,40960,
packet_index ,65, sent_timestamp ,23-08-03 14:49:21,received-send delay ,0.06838846206665039, and size ,40960,
packet_index ,66, sent_timestamp ,23-08-03 14:49:21,received-send delay ,0.05749177932739258, and size ,40960,
packet_index ,67, sent_timestamp ,23-08-03 14:49:21,received-send delay ,0.0798029899597168, and size ,40960,
packet_index ,68, sent_timestamp ,23-08-03 14:49:21,received-send delay ,0.0791788101196289, and size ,40960,
packet_index ,69, sent_timestamp ,23-08-03 14:49:21,received-send delay ,0.06995940208435059, and size ,40960,
packet_index ,70, sent_timestamp ,23-08-03 14:49:21,received-send delay ,0.05980706214904785, and size ,40960,
packet_index ,71, sent_timestamp ,23-08-03 14:49:21,received-send delay ,0.08941507339477539, and size ,40960,
packet_index ,72, sent_timestamp ,23-08-03 14:49:21,received-send delay ,0.09387660026550293, and size ,40960,
packet_index ,73, sent_timestamp ,23-08-03 14:49:21,received-send delay ,0.08550167083740234, and size ,40960,
packet_index ,74, sent_timestamp ,23-08-03 14:49:21,received-send delay ,0.08142852783203125, and size ,40960,
packet_index ,75, sent_timestamp ,23-08-03 14:49:21,received-send delay ,0.0676729679107666, and size ,40960,
packet_index ,76, sent_timestamp ,23-08-03 14:49:21,received-send delay ,0.08269023895263672, and size ,40960,
packet_index ,77, sent_timestamp ,23-08-03 14:49:21,received-send delay ,0.07361221313476562, and size ,40960,
packet_index ,78, sent_timestamp ,23-08-03 14:49:21,received-send delay ,0.09602546691894531, and size ,40960,
packet_index ,79, sent_timestamp ,23-08-03 14:49:21,received-send delay ,0.10345602035522461, and size ,40960,
packet_index ,80, sent_timestamp ,23-08-03 14:49:21,received-send delay ,0.09933066368103027, and size ,40960,
packet_index ,81, sent_timestamp ,23-08-03 14:49:21,received-send delay ,0.0879814624786377, and size ,40960,
packet_index ,82, sent_timestamp ,23-08-03 14:49:21,received-send delay ,0.08038067817687988, and size ,40960,
packet_index ,83, sent_timestamp ,23-08-03 14:49:21,received-send delay ,0.0811312198638916, and size ,40960,
packet_index ,84, sent_timestamp ,23-08-03 14:49:21,received-send delay ,0.08211183547973633, and size ,40960,
packet_index ,85, sent_timestamp ,23-08-03 14:49:21,received-send delay ,0.08307647705078125, and size ,40960,
packet_index ,86, sent_timestamp ,23-08-03 14:49:21,received-send delay ,0.08471560478210449, and size ,40960,
packet_index ,87, sent_timestamp ,23-08-03 14:49:21,received-send delay ,0.08275127410888672, and size ,40960,
packet_index ,88, sent_timestamp ,23-08-03 14:49:21,received-send delay ,0.08097696304321289, and size ,40960,
packet_index ,89, sent_timestamp ,23-08-03 14:49:21,received-send delay ,0.07021379470825195, and size ,40960,
packet_index ,90, sent_timestamp ,23-08-03 14:49:21,received-send delay ,0.08674955368041992, and size ,40960,
packet_index ,91, sent_timestamp ,23-08-03 14:49:22,received-send delay ,0.09409570693969727, and size ,40960,
packet_index ,92, sent_timestamp ,23-08-03 14:49:22,received-send delay ,0.08569002151489258, and size ,40960,
packet_index ,93, sent_timestamp ,23-08-03 14:49:22,received-send delay ,0.08281230926513672, and size ,40960,
packet_index ,94, sent_timestamp ,23-08-03 14:49:22,received-send delay ,0.0769047737121582, and size ,40960,
packet_index ,95, sent_timestamp ,23-08-03 14:49:22,received-send delay ,0.08285284042358398, and size ,40960,
packet_index ,96, sent_timestamp ,23-08-03 14:49:22,received-send delay ,0.08190035820007324, and size ,40960,
packet_index ,97, sent_timestamp ,23-08-03 14:49:22,received-send delay ,0.08397245407104492, and size ,40960,
packet_index ,98, sent_timestamp ,23-08-03 14:49:22,received-send delay ,0.08125090599060059, and size ,40960,
packet_index ,99, sent_timestamp ,23-08-03 14:49:22,received-send delay ,0.07976841926574707, and size ,40960,
packet_index ,100, sent_timestamp ,23-08-03 14:49:22,received-send delay ,0.07974720001220703, and size ,40960,
packet_index ,101, sent_timestamp ,23-08-03 14:49:22,received-send delay ,0.08278846740722656, and size ,40960,
packet_index ,102, sent_timestamp ,23-08-03 14:49:22,received-send delay ,0.08164238929748535, and size ,40960,
packet_index ,103, sent_timestamp ,23-08-03 14:49:22,received-send delay ,0.06830120086669922, and size ,40960,
packet_index ,104, sent_timestamp ,23-08-03 14:49:22,received-send delay ,0.08304357528686523, and size ,40960,
packet_index ,105, sent_timestamp ,23-08-03 14:49:22,received-send delay ,0.08354735374450684, and size ,40960,
packet_index ,106, sent_timestamp ,23-08-03 14:49:22,received-send delay ,0.07992124557495117, and size ,40960,
packet_index ,107, sent_timestamp ,23-08-03 14:49:22,received-send delay ,0.07954263687133789, and size ,40960,
packet_index ,108, sent_timestamp ,23-08-03 14:49:22,received-send delay ,0.07052969932556152, and size ,40960,
packet_index ,109, sent_timestamp ,23-08-03 14:49:22,received-send delay ,0.05961728096008301, and size ,40960,
packet_index ,110, sent_timestamp ,23-08-03 14:49:22,received-send delay ,0.08740592002868652, and size ,40960,
packet_index ,111, sent_timestamp ,23-08-03 14:49:22,received-send delay ,0.07658243179321289, and size ,40960,
packet_index ,112, sent_timestamp ,23-08-03 14:49:22,received-send delay ,0.07233428955078125, and size ,40960,
packet_index ,113, sent_timestamp ,23-08-03 14:49:22,received-send delay ,0.07479047775268555, and size ,40960,
packet_index ,114, sent_timestamp ,23-08-03 14:49:22,received-send delay ,0.07265734672546387, and size ,40960,
packet_index ,115, sent_timestamp ,23-08-03 14:49:22,received-send delay ,0.0752265453338623, and size ,40960,
packet_index ,116, sent_timestamp ,23-08-03 14:49:22,received-send delay ,0.06536555290222168, and size ,40960,
packet_index ,117, sent_timestamp ,23-08-03 14:49:22,received-send delay ,0.05938386917114258, and size ,40960,
